# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.16  5.551796204948578E-03  2.108793043444191E-05 3526785
   2       0.16       0.31  5.557862471198389E-03  2.128300083786892E-05 3528500
   3       0.31       0.47  5.583194886364621E-03  2.116656231370613E-05 3529364
   4       0.47       0.63  5.560094095220536E-03  2.109763693213700E-05 3529557
   5       0.63       0.79  5.612599021256262E-03  2.194912792880580E-05 3529875
   6       0.79       0.94  5.562804833422360E-03  2.128618065176114E-05 3534103
   7       0.94       1.10  5.602415824883232E-03  2.118389873764715E-05 3529027
   8       1.10       1.26  5.587461740589631E-03  2.176491352392879E-05 3531346
   9       1.26       1.41  5.589003470705773E-03  2.128026312246385E-05 3531222
  10       1.41       1.57  5.621051044266001E-03  2.156596523489170E-05 3532309
  11       1.57       1.73  5.548755650309411E-03  2.173453862729594E-05 3528064
  12       1.73       1.89  5.587376996147759E-03  2.160330922058896E-05 3531845
  13       1.89       2.04  5.582448770208733E-03  2.130203148149173E-05 3532503
  14       2.04       2.20  5.616711268843545E-03  2.213109180022656E-05 3533405
  15       2.20       2.36  5.602897899152632E-03  2.197403890237160E-05 3532192
  16       2.36       2.51  5.549513532447641E-03  2.107774623236159E-05 3535078
  17       2.51       2.67  5.609162356109032E-03  2.290321279934754E-05 3539153
  18       2.67       2.83  5.584687672223677E-03  2.120284935809352E-05 3540576
  19       2.83       2.98  5.609215634758515E-03  2.101250494524233E-05 3536709
  20       2.98       3.14  5.641031177427474E-03  2.218821642217316E-05 3536562
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.8188604273670120E-01  4.7265743070992299E-05 460974664
#-------------------------------------------------------------------------------------
# Sum:                       4.4797116668663685E-02  7.4605271561243908E-06 467479000
#=====================================================================================
