# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.16  4.840135332012898E-03  1.694122902920089E-04 6302209
   2       0.16       0.31  4.977316978392401E-03  2.452917374654498E-04 6461050
   3       0.31       0.47  4.589983442394203E-03  4.016694669498725E-04 6497328
   4       0.47       0.63  5.044793593249301E-03  1.592835605456864E-04 6516895
   5       0.63       0.79  4.686073535703629E-03  1.796204448664756E-04 6516323
   6       0.79       0.94  4.124894958280540E-03  7.253275448227929E-04 6527077
   7       0.94       1.10  5.013630137320641E-03  1.589884689732510E-04 6532186
   8       1.10       1.26  4.912781037795981E-03  2.352512090303273E-04 6537471
   9       1.26       1.41  4.130568689808791E-03  3.724575623355557E-04 6540255
  10       1.41       1.57  4.706485956824257E-03  2.181209758495843E-04 6552772
  11       1.57       1.73  5.065561015212453E-03  2.158148555887141E-04 6547275
  12       1.73       1.89  4.801434385330364E-03  2.588649849852012E-04 6549344
  13       1.89       2.04  4.482525573567177E-03  4.296193754249804E-04 6554096
  14       2.04       2.20  5.111559314235622E-03  4.102413214846369E-04 6555547
  15       2.20       2.36  4.736793017951806E-03  2.236549954744068E-04 6563128
  16       2.36       2.51  4.792302306250398E-03  1.691310678495913E-04 6561865
  17       2.51       2.67  5.069177783866565E-03  1.650196529856408E-04 6562000
  18       2.67       2.83  4.040692458286315E-03  3.409839085333714E-04 6568582
  19       2.83       2.98  5.039218065939569E-03  2.386380932759771E-04 6567344
  20       2.98       3.14  4.818901536575768E-03  1.916595360481172E-04 6574689
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                 -3.2479657635089192E-02  3.0691755662192458E-04 203345
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386100328E-03  4.8339163173430272E-05 206000
#=====================================================================================
