# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.093663136414074E+00  4.780013329325301E-04 367521385
   2      -0.90      -0.80  9.561270920894398E-01  4.270731371086563E-04 317712054
   3      -0.80      -0.70  8.672665787714808E-01  3.954086952124742E-04 282251990
   4      -0.70      -0.60  8.050381577061640E-01  3.686576227695000E-04 258331806
   5      -0.60      -0.50  7.604440020960644E-01  3.519127275249950E-04 241724024
   6      -0.50      -0.40  7.276576258366968E-01  3.379177221855567E-04 229954597
   7      -0.40      -0.30  7.034571531145742E-01  3.264093495633128E-04 221629670
   8      -0.30      -0.20  6.867304344427527E-01  3.197224074514945E-04 216044539
   9      -0.20      -0.10  6.752926599294038E-01  3.139357957077176E-04 212567953
  10      -0.10       0.00  6.688613148856254E-01  3.122095744749923E-04 211050219
  11       0.00       0.10  6.667577651770330E-01  3.082200916511592E-04 211364402
  12       0.10       0.20  6.696129531067750E-01  3.107152378416545E-04 213518316
  13       0.20       0.30  6.769560037387790E-01  3.120004529620726E-04 217690628
  14       0.30       0.40  6.898852878449666E-01  3.177537735186254E-04 224255345
  15       0.40       0.50  7.091749853992619E-01  3.262131486950614E-04 233719026
  16       0.50       0.60  7.359109657991979E-01  3.378182803683718E-04 247145569
  17       0.60       0.70  7.714734228751244E-01  3.513644295906187E-04 266172311
  18       0.70       0.80  8.206092127770370E-01  3.741648927848302E-04 293786287
  19       0.80       0.90  8.783254356020155E-01  3.996075526672967E-04 333868188
  20       0.90       1.00  7.844675789854652E-01  4.086909482610390E-04 325439691
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       4.4797116669074905E-02  7.4840548348996256E-06 467479000
#=====================================================================================
