# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.40       0.60  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.60       0.80  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.80       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.00       1.20  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.20       1.40  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.40       1.60  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.60       1.80  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.80       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.00       2.20  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.20       2.40  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.40       2.60  1.871515178827026E-03  7.496537721753219E-05 17876109
  14       2.60       2.80  1.057300686136575E-02  2.588266214812797E-04 80937009
  15       2.80       3.00  2.434879923970817E-02  2.965202882400594E-04 134777623
  16       3.00       3.20  4.587149428905839E-02  4.737473814419814E-04 193432883
  17       3.20       3.40  8.159240278093433E-02  6.122122595896319E-04 261607336
  18       3.40       3.60  1.363117629269431E-01  8.426988673392724E-04 343350569
  19       3.60       3.80  2.207098054975165E-01  1.226424162601950E-03 443883723
  20       3.80       4.00  3.360339872700280E-01  1.476789080395825E-03 572006688
  21       4.00       4.20  4.289306182049513E-01  2.030823615424794E-03 647978056
  22       4.20       4.40  4.580515279948897E-01  2.375890490045562E-03 619963794
  23       4.40       4.60  4.804533376904387E-01  2.171908120183537E-03 585905051
  24       4.60       4.80  4.817268926110503E-01  2.487484969091566E-03 546350425
  25       4.80       5.00  4.771249092114986E-01  2.888657016420516E-03 502402103
  26       5.00       5.20  4.547290805489975E-01  2.874958048031433E-03 455697552
  27       5.20       5.40  4.245357791930073E-01  3.396965777170773E-03 407779415
  28       5.40       5.60  3.962187764054709E-01  2.850283074121445E-03 360006055
  29       5.60       5.80  3.555305235277872E-01  3.495428262643831E-03 313739297
  30       5.80       6.00  3.157545844077326E-01  2.651561256283828E-03 270071703
  31       6.00       6.20  2.755672037209367E-01  2.560915040505419E-03 229690239
  32       6.20       6.40  2.284222843297836E-01  3.264480552647453E-03 192998212
  33       6.40       6.60  1.913067342748527E-01  2.980917050002031E-03 160275287
  34       6.60       6.80  1.610700539565627E-01  1.620063139948076E-03 131495753
  35       6.80       7.00  1.242354125327901E-01  1.872123332360597E-03 106461344
  36       7.00       7.20  9.209890109957346E-02  3.065737583260204E-03 84952047
  37       7.20       7.40  7.222691908164589E-02  1.698580596389858E-03 66693865
  38       7.40       7.60  5.475127398404094E-02  1.075534728909697E-03 51407695
  39       7.60       7.80  3.906796011002179E-02  9.319572447155182E-04 38766274
  40       7.80       8.00  2.619620665483286E-02  8.426826490217230E-04 28499982
  41       8.00       8.20  1.689073483078657E-02  9.307142115470643E-04 20299506
  42       8.20       8.40  6.190605309178737E-03  4.139166770295185E-03 13892754
  43       8.40       8.60  6.120960662457011E-03  1.998187008876100E-04 9006730
  44       8.60       8.80  3.312151159714000E-03  8.178854350784261E-05 5383954
  45       8.80       9.00  1.532049607117803E-03  4.430014203727865E-05 2807429
  46       9.00       9.20  4.486986919615408E-04  5.543114597288906E-05 1146466
  47       9.20       9.40  1.230968929927594E-04  1.511578896942835E-05 312800
  48       9.40       9.60  7.238838053286173E-06  1.376986126515484E-06 20665
  49       9.60       9.80  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.80      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.00      10.20  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.20      10.40  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.40      10.60  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.60      10.80  0.000000000000000E+00  0.000000000000000E+00 0
