# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     500.00     550.00  7.930130686686160E-04  1.707594893452576E-06 272627860
  12     550.00     600.00  8.340203366388724E-04  1.873802105003849E-06 269097388
  13     600.00     650.00  8.654633243941620E-04  2.259559081410731E-06 263659645
  14     650.00     700.00  8.778977335710041E-04  2.457118219458560E-06 256980012
  15     700.00     750.00  8.810804760830993E-04  2.782209793758604E-06 249508364
  16     750.00     800.00  8.729231233679093E-04  3.596313102977035E-06 241579643
  17     800.00     850.00  8.685626575508382E-04  3.025398035748818E-06 233438082
  18     850.00     900.00  8.620869533542401E-04  3.677230652600529E-06 225195165
  19     900.00     950.00  8.434289997448367E-04  3.646423347420020E-06 217037074
  20     950.00    1000.00  8.125514273651363E-04  4.148379658314320E-06 208989326
  21    1000.00    1050.00  7.939466674578221E-04  4.302072025304805E-06 201204139
  22    1050.00    1100.00  7.706590415773740E-04  3.865546130212512E-06 193635197
  23    1100.00    1150.00  7.413271683565218E-04  4.457317037904823E-06 186304848
  24    1150.00    1200.00  7.158909494890129E-04  4.465410846312227E-06 179233552
  25    1200.00    1250.00  6.866142602393708E-04  5.341580987290539E-06 172467817
  26    1250.00    1300.00  6.508461844125901E-04  5.329309624364206E-06 165973095
  27    1300.00    1350.00  6.314183978744494E-04  5.918447836718523E-06 159755912
  28    1350.00    1400.00  6.076468096053430E-04  5.666946202795361E-06 153789494
  29    1400.00    1450.00  5.837780220801141E-04  5.428684426310013E-06 148104479
  30    1450.00    1500.00  5.560769873083721E-04  5.836807288004817E-06 142632715
  31    1500.00    1550.00  5.384369725383071E-04  5.184981226819697E-06 137418443
  32    1550.00    1600.00  5.039933215902006E-04  6.127932126384188E-06 132437120
  33    1600.00    1650.00  4.899835183931206E-04  5.587280754126761E-06 127681111
  34    1650.00    1700.00  4.744181668504745E-04  5.030117935339436E-06 123134258
  35    1700.00    1750.00  4.475241292453214E-04  8.081997551776584E-06 118789845
  36    1750.00    1800.00  4.255032797928000E-04  5.643399405149009E-06 114645689
  37    1800.00    1850.00  4.017341103954963E-04  6.109651811428560E-06 110656070
  38    1850.00    1900.00  3.825530773605829E-04  5.737562219476401E-06 106866445
  39    1900.00    1950.00  3.620600804831351E-04  5.701946404229586E-06 103208354
