# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.199884401718893E-01  9.880143193478600E-05 144572077
   2      -2.25      -2.00  1.605601885945802E-01  1.150465177539640E-04 171606271
   3      -2.00      -1.75  2.061962611406311E-01  1.321177268288298E-04 199423369
   4      -1.75      -1.50  2.540511996413559E-01  1.446819943825660E-04 226928593
   5      -1.50      -1.25  3.015244926833969E-01  1.533124843387087E-04 253140662
   6      -1.25      -1.00  3.456475341491512E-01  1.573775439880510E-04 277052433
   7      -1.00      -0.75  3.840911566930100E-01  1.586997186967718E-04 297819216
   8      -0.75      -0.50  4.150092867615042E-01  1.583342716515909E-04 314651927
   9      -0.50      -0.25  4.359312891309883E-01  1.559436208950046E-04 326878555
  10      -0.25       0.00  4.465641684634679E-01  1.539479821666058E-04 334022796
  11       0.00       0.25  4.467287865882364E-01  1.542314290849837E-04 335532971
  12       0.25       0.50  4.356689009244019E-01  1.541615431649572E-04 331273034
  13       0.50       0.75  4.146813739004864E-01  1.555780560421023E-04 321165369
  14       0.75       1.00  3.838314609622313E-01  1.554104729482432E-04 305460333
  15       1.00       1.25  3.457446408716133E-01  1.537964754332835E-04 284643083
  16       1.25       1.50  3.015559902317006E-01  1.488536498260266E-04 259512611
  17       1.50       1.75  2.542451453569447E-01  1.402698218861262E-04 231162067
  18       1.75       2.00  2.064873819880438E-01  1.279645166602079E-04 200915340
  19       2.00       2.25  1.606469528792338E-01  1.125333862834397E-04 169973306
  20       2.25       2.50  1.199300555039860E-01  9.518781260993919E-05 140013987
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       4.4797116669076389E-02  7.4837526347982406E-06 467479000
#=====================================================================================
