# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  9.178573582153553E-03  2.287371731886386E-05 20903312
   2      -4.25      -4.00  2.163074445214047E-02  4.020290412505839E-05 34585912
   3      -4.00      -3.75  4.389558472199611E-02  6.095178816187777E-05 52674773
   4      -3.75      -3.50  7.886447479962712E-02  8.705722654473003E-05 74452943
   5      -3.50      -3.25  1.260347262509853E-01  1.142016244590256E-04 98611539
   6      -3.25      -3.00  1.812467351080561E-01  1.385017872293112E-04 123318051
   7      -3.00      -2.75  2.365733414669130E-01  1.572488995241724E-04 146894297
   8      -2.75      -2.50  2.828767242398585E-01  1.673012583014582E-04 167448831
   9      -2.50      -2.25  3.113197529109146E-01  1.675376998065053E-04 183546563
  10      -2.25      -2.00  3.198646886842931E-01  1.590597722685125E-04 194255932
  11      -2.00      -1.75  3.078426797561622E-01  1.436623352710578E-04 199080420
  12      -1.75      -1.50  2.796108190364808E-01  1.249459087762991E-04 198374352
  13      -1.50      -1.25  2.403638888459289E-01  1.039765787326224E-04 192771849
  14      -1.25      -1.00  1.961608015679277E-01  8.386575134936567E-05 183581662
  15      -1.00      -0.75  1.531040383343649E-01  6.486302710250995E-05 172714279
  16      -0.75      -0.50  1.162221246096087E-01  4.896367834920518E-05 162227058
  17      -0.50      -0.25  8.948461313273487E-02  3.648242039516433E-05 153904151
  18      -0.25       0.00  7.543214620476571E-02  2.904554972156828E-05 149058319
  19       0.00       0.25  7.544074833808742E-02  2.838319318620078E-05 148352752
  20       0.25       0.50  8.946419220782563E-02  3.478033905443603E-05 151989066
  21       0.50       0.75  1.161566009643960E-01  4.598979395922420E-05 159789093
  22       0.75       1.00  1.529129671237482E-01  6.040428820026969E-05 170692964
  23       1.00       1.25  1.959231973421781E-01  7.733062107434214E-05 183235305
  24       1.25       1.50  2.402040310385426E-01  9.569706940820591E-05 195069167
  25       1.50       1.75  2.797978034339748E-01  1.143770722787126E-04 203967489
  26       1.75       2.00  3.082463713893230E-01  1.320191072936205E-04 208037355
  27       2.00       2.25  3.195086248447431E-01  1.456789129310882E-04 206034479
  28       2.25       2.50  3.111932267021892E-01  1.548729252431340E-04 197463643
  29       2.50       2.75  2.827287498931339E-01  1.565536787104645E-04 182544288
  30       2.75       3.00  2.367253333908358E-01  1.505729840419990E-04 161920813
  31       3.00       3.25  1.812666615542131E-01  1.350119891229644E-04 137066568
  32       3.25       3.50  1.263022180110112E-01  1.158391329112806E-04 110036097
  33       3.50       3.75  7.899635172152472E-02  9.118976236892858E-05 83031588
  34       3.75       4.00  4.379977743628805E-02  6.651610918269653E-05 58275653
  35       4.00       4.25  2.153727910956213E-02  4.388682026558594E-05 37653499
  36       4.25       4.50  9.174114430090639E-03  2.705647129699503E-05 22183938
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       4.4797116669079304E-02  7.4842798429991855E-06 467479000
#=====================================================================================
