# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  8.426986325889887E-03  9.119738075342319E-05 31291542
   2      -4.25      -4.00  1.925914894718173E-02  2.402818524399542E-04 51692299
   3      -4.00      -3.75  3.732636845482062E-02  1.797349245697569E-03 78713799
   4      -3.75      -3.50  6.833367647488311E-02  7.938561728159960E-04 111349094
   5      -3.50      -3.25  1.083530002832749E-01  1.274767401212320E-03 147569210
   6      -3.25      -3.00  1.538259625078346E-01  1.675686080586380E-03 184871679
   7      -3.00      -2.75  2.026521541559898E-01  1.608553168478248E-03 220486239
   8      -2.75      -2.50  2.395305045106496E-01  2.127757416288418E-03 251739273
   9      -2.50      -2.25  2.566996139154746E-01  2.783559266312379E-03 276333512
  10      -2.25      -2.00  2.647955307395078E-01  2.738368766089987E-03 292844347
  11      -2.00      -1.75  2.571837153825757E-01  1.949335728222283E-03 300547036
  12      -1.75      -1.50  2.341095142621714E-01  1.606102124212753E-03 299768893
  13      -1.50      -1.25  1.977943125555244E-01  1.690899914314147E-03 291563571
  14      -1.25      -1.00  1.643065221825002E-01  1.065648989936516E-03 277963683
  15      -1.00      -0.75  1.282047881004424E-01  9.105100703039033E-04 261859940
  16      -0.75      -0.50  9.814677427023434E-02  6.611247876406544E-04 246277288
  17      -0.50      -0.25  7.626737081177376E-02  4.375583225681337E-04 234030260
  18      -0.25       0.00  6.495255353682546E-02  2.897703432217773E-04 227038789
  19       0.00       0.25  6.465762395098662E-02  3.075562003468671E-04 226354946
  20       0.25       0.50  7.638656764640335E-02  4.214459302580350E-04 232303752
  21       0.50       0.75  9.884012283784038E-02  5.378607327387004E-04 244396966
  22       0.75       1.00  1.263697397885707E-01  8.656425211112903E-04 261199160
  23       1.00       1.25  1.629573351342760E-01  1.044268083799602E-03 280050517
  24       1.25       1.50  1.986706490239094E-01  1.594588117438634E-03 297732515
  25       1.50       1.75  2.317566961021021E-01  1.663064524971917E-03 310698604
  26       1.75       2.00  2.536035420477384E-01  1.907799655273655E-03 316164711
  27       2.00       2.25  2.657308063071307E-01  1.859503532876974E-03 312313386
  28       2.25       2.50  2.596954302247608E-01  2.444338999044311E-03 298378942
  29       2.50       2.75  2.344585393793192E-01  2.533148357984532E-03 274949223
  30       2.75       3.00  1.982592916762407E-01  2.100965284197868E-03 242979336
  31       3.00       3.25  1.521740156571415E-01  2.397258159214903E-03 204900655
  32       3.25       3.50  1.092226831559484E-01  1.062704684887282E-03 163875232
  33       3.50       3.75  6.477550126855515E-02  3.496303069028126E-03 123195600
  34       3.75       4.00  3.815748011237422E-02  6.227735340155862E-04 86187697
  35       4.00       4.25  1.953982733360025E-02  2.914027862019577E-04 55580564
  36       4.25       4.50  8.525482597545823E-03  9.835952640770260E-05 32732200
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386101751E-03  4.8410120974989933E-05 206000
#=====================================================================================
