# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  4.528837458616612E-08  1.737224320148162E-09 115621
   7      -3.00      -2.75  1.629362452897011E-05  3.177381496158173E-07 2305243
   8      -2.75      -2.50  3.519422759541050E-04  3.367519220924698E-06 11106864
   9      -2.50      -2.25  2.502635489564164E-03  1.603761293316127E-05 31883039
  10      -2.25      -2.00  1.007700089856786E-02  7.130732008701953E-05 69848921
  11      -2.00      -1.75  2.924051927788231E-02  1.367908901782794E-04 127948544
  12      -1.75      -1.50  6.608655305809687E-02  2.961874672843223E-04 205573751
  13      -1.50      -1.25  1.281755697393299E-01  5.674901461420969E-04 298940062
  14      -1.25      -1.00  2.192853889748330E-01  8.423265678088434E-04 403397383
  15      -1.00      -0.75  3.387234109048540E-01  1.466170912104724E-03 513678197
  16      -0.75      -0.50  4.733786599637376E-01  2.987894594954223E-03 623985179
  17      -0.50      -0.25  6.093402544122598E-01  3.386305104994479E-03 725096214
  18      -0.25       0.00  7.020248343234312E-01  3.759505217421571E-03 800367919
  19       0.00       0.25  6.924893520393722E-01  5.334891451735246E-03 807002654
  20       0.25       0.50  6.100315456018058E-01  3.562911279809688E-03 741706585
  21       0.50       0.75  4.707233820901657E-01  3.206708754001149E-03 646023856
  22       0.75       1.00  3.355509854886456E-01  1.774672119409721E-03 537810183
  23       1.00       1.25  2.181249653144479E-01  9.580045704746902E-04 427006453
  24       1.25       1.50  1.292158746444284E-01  6.150116066528061E-04 320198124
  25       1.50       1.75  6.642911050114297E-02  3.285037387644178E-04 223199895
  26       1.75       2.00  2.927086735390542E-02  1.363291637273891E-04 141301106
  27       2.00       2.25  1.005369060761589E-02  7.442440596854638E-05 78810056
  28       2.25       2.50  2.492788577001252E-03  2.019118411526814E-05 36906897
  29       2.50       2.75  3.482734198048436E-04  4.476511551626209E-06 13195615
  30       2.75       3.00  1.584420076512023E-05  5.670011839651464E-07 2759514
  31       3.00       3.25  4.359292835400163E-08  3.828903758729668E-09 122062
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386101733E-03  4.8404987386712966E-05 206000
#=====================================================================================
