# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  4.817347070733811E-02  6.042981310870191E-04 143792605
   2      -4.25      -4.00  7.423661687375191E-02  3.566032666784282E-03 181374687
   3      -4.00      -3.75  1.172217726489562E-01  1.135287426501167E-03 217644760
   4      -3.75      -3.50  1.565461321593420E-01  1.187159641312971E-03 250308193
   5      -3.50      -3.25  1.947075870751619E-01  1.583716798601221E-03 277375902
   6      -3.25      -3.00  2.284096683771846E-01  2.117069160912026E-03 297310605
   7      -3.00      -2.75  2.438324800548344E-01  2.157522514626486E-03 309187798
   8      -2.75      -2.50  2.527069797430855E-01  2.535067788453137E-03 312146945
   9      -2.50      -2.25  2.422650923616923E-01  2.195002580208232E-03 306205601
  10      -2.25      -2.00  2.260721971962391E-01  1.785597730545194E-03 292585256
  11      -2.00      -1.75  1.972392762339365E-01  2.072497400758851E-03 272029264
  12      -1.75      -1.50  1.672252181593246E-01  1.420852150196033E-03 245459889
  13      -1.50      -1.25  1.315066579734691E-01  1.385259938878574E-03 214951477
  14      -1.25      -1.00  1.014748279679437E-01  8.117316497840042E-04 183267406
  15      -1.00      -0.75  7.320155088508280E-02  4.987551689524538E-04 153364515
  16      -0.75      -0.50  5.032432112015865E-02  3.336677794329727E-04 127802009
  17      -0.50      -0.25  3.359763856428031E-02  2.288062081119846E-04 108730556
  18      -0.25       0.00  2.482432318957874E-02  1.949246940576984E-04 97616002
  19       0.00       0.25  2.498403497871176E-02  1.497119687032598E-04 95328849
  20       0.25       0.50  3.320258224645112E-02  2.779993234954303E-04 102112062
  21       0.50       0.75  4.983653848096462E-02  3.978852013946518E-04 117587713
  22       0.75       1.00  7.330646051106310E-02  5.625299122171837E-04 140524900
  23       1.00       1.25  1.014504354956759E-01  8.330452014087547E-04 169042575
  24       1.25       1.50  1.361287012511261E-01  8.994587653971107E-04 200696235
  25       1.50       1.75  1.683912464049692E-01  1.275697658183009E-03 232475495
  26       1.75       2.00  2.014999072773747E-01  1.494266606803738E-03 261225257
  27       2.00       2.25  2.288180123172516E-01  2.138614718961828E-03 284398738
  28       2.25       2.50  2.452337757457863E-01  2.007136036259068E-03 300400616
  29       2.50       2.75  2.547722049234501E-01  1.836175914201356E-03 308032994
  30       2.75       3.00  2.475889302232091E-01  2.308503434230900E-03 305517416
  31       3.00       3.25  2.216988182424341E-01  2.916490518585972E-03 292638592
  32       3.25       3.50  1.942178063819651E-01  2.220571028945122E-03 270203559
  33       3.50       3.75  1.559792372039198E-01  1.648909192920967E-03 239641773
  34       3.75       4.00  1.160533554315425E-01  1.372135742936064E-03 203127072
  35       4.00       4.25  7.886301817622794E-02  9.227669889980041E-04 163530541
  36       4.25       4.50  4.835895507832266E-02  7.184740061979563E-04 124236318
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386101812E-03  4.8410342015407192E-05 206000
#=====================================================================================
