# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.024087132959137E-01  1.170447095096980E-03 215825228
   2      -2.25      -2.00  1.374673457725112E-01  1.245672330465640E-03 257273057
   3      -2.00      -1.75  1.737797273546527E-01  1.867889604109649E-03 300136831
   4      -1.75      -1.50  2.129026116512140E-01  3.719834055661875E-03 342718100
   5      -1.50      -1.25  2.567662439421637E-01  1.728618485764410E-03 383376898
   6      -1.25      -1.00  2.834853111587461E-01  3.186458732817329E-03 420668496
   7      -1.00      -0.75  3.205783033089898E-01  2.643467878427468E-03 453138291
   8      -0.75      -0.50  3.469569052501651E-01  2.033099901521802E-03 479539739
   9      -0.50      -0.25  3.643816590546353E-01  2.109699164631359E-03 498752703
  10      -0.25       0.00  3.699076081153555E-01  2.509532543887903E-03 509896214
  11       0.00       0.25  3.736974782184282E-01  2.386935244817724E-03 512294050
  12       0.25       0.50  3.640437653524556E-01  2.135797642217334E-03 505621496
  13       0.50       0.75  3.452913995279922E-01  2.120105083214403E-03 489912412
  14       0.75       1.00  3.248388650734780E-01  1.871431810239066E-03 465451468
  15       1.00       1.25  2.927351459561199E-01  1.671224708080875E-03 433238174
  16       1.25       1.50  2.492760905208106E-01  2.581671244510530E-03 394496840
  17       1.50       1.75  2.141825219261750E-01  2.257659884711969E-03 350883637
  18       1.75       2.00  1.746108511400503E-01  1.546219459115028E-03 304467447
  19       2.00       2.25  1.361661586663745E-01  1.318809065281206E-03 257311567
  20       2.25       2.50  1.004731263760028E-01  1.374390139909194E-03 211683856
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386101690E-03  4.8408771326051337E-05 206000
#=====================================================================================
