# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  7.932581886485508E-04  7.027264879736665E-06 1522899
   2      -4.75      -4.50  3.113221673400327E-03  1.404750991920611E-05 5453441
   3      -4.50      -4.25  6.889238264224544E-03  2.149599184231973E-05 10892790
   4      -4.25      -4.00  1.250608095911024E-02  2.969462920072291E-05 18110727
   5      -4.00      -3.75  2.047858782268742E-02  3.928241366091890E-05 27293731
   6      -3.75      -3.50  3.123804534260957E-02  4.935257523641479E-05 38605914
   7      -3.50      -3.25  4.517193484473222E-02  5.997174316742704E-05 52110000
   8      -3.25      -3.00  6.253653871666798E-02  7.086940746572186E-05 67747801
   9      -3.00      -2.75  8.346332286716752E-02  8.112497249570031E-05 85357657
  10      -2.75      -2.50  1.081715589854425E-01  9.212221745150111E-05 104664141
  11      -2.50      -2.25  1.363580965558467E-01  1.021673021151267E-04 125337139
  12      -2.25      -2.00  1.672631734958603E-01  1.109613313862766E-04 146977582
  13      -2.00      -1.75  2.000512055768345E-01  1.189800186082715E-04 169189788
  14      -1.75      -1.50  2.338192138658736E-01  1.266117702360642E-04 191529520
  15      -1.50      -1.25  2.669878924703596E-01  1.327343565000786E-04 213470057
  16      -1.25      -1.00  2.984961718527157E-01  1.389958486303046E-04 234234946
  17      -1.00      -0.75  3.264609599229048E-01  1.429191448981268E-04 253157877
  18      -0.75      -0.50  3.492739547740573E-01  1.464755200739664E-04 269246174
  19      -0.50      -0.25  3.641920528881636E-01  1.497113093795861E-04 279976231
  20      -0.25       0.00  3.523754250743857E-01  1.464142557953963E-04 268633107
  21       0.00       0.25  3.523799744590859E-01  1.472575822076768E-04 268572326
  22       0.25       0.50  3.639828499375077E-01  1.494419400989313E-04 279864224
  23       0.50       0.75  3.493789405693202E-01  1.468237456862261E-04 269065887
  24       0.75       1.00  3.263074863234709E-01  1.420442737735764E-04 252903212
  25       1.00       1.25  2.982361891791340E-01  1.373473922679641E-04 234011516
  26       1.25       1.50  2.668489600895765E-01  1.313499851826993E-04 213221341
  27       1.50       1.75  2.339139631201123E-01  1.256047275075778E-04 191348445
  28       1.75       2.00  2.000696552078882E-01  1.179975008404195E-04 169057462
  29       2.00       2.25  1.673535143330091E-01  1.101864881876600E-04 146881268
  30       2.25       2.50  1.362796371872068E-01  1.003621676952161E-04 125293900
  31       2.50       2.75  1.083051961819452E-01  9.163424219678837E-05 104639549
  32       2.75       3.00  8.371249020359435E-02  8.117672119429643E-05 85368618
  33       3.00       3.25  6.261498744121427E-02  7.019671303248457E-05 67787940
  34       3.25       3.50  4.505683288831185E-02  5.919880791287113E-05 52142297
  35       3.50       3.75  3.117633275424199E-02  4.851706463501891E-05 38646028
  36       3.75       4.00  2.050982206090847E-02  3.881810519864140E-05 27342264
  37       4.00       4.25  1.252333642073995E-02  2.949412787254691E-05 18149179
  38       4.25       4.50  6.889245461931470E-03  2.124440544904010E-05 10931736
  39       4.50       4.75  3.112693935505243E-03  1.354635359313344E-05 5478073
  40       4.75       5.00  7.926647400613626E-04  6.455051813638758E-06 1531213
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       4.4797116669078506E-02  7.4841539686187467E-06 467479000
#=====================================================================================
