# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  7.142572141430264E-04  3.123054505036894E-05 2395601
   2      -4.75      -4.50  2.783406232007494E-03  9.800744752617801E-05 8301251
   3      -4.50      -4.25  6.158908480043986E-03  1.336786956347839E-04 16452020
   4      -4.25      -4.00  1.042709018527679E-02  5.009203425586601E-04 27238701
   5      -4.00      -3.75  1.685479885674968E-02  5.592643879512296E-04 40952604
   6      -3.75      -3.50  2.649425606716291E-02  5.166419142518505E-04 57858957
   7      -3.50      -3.25  3.804077020383042E-02  6.461456535221430E-04 78019332
   8      -3.25      -3.00  5.358628728491957E-02  6.345330663808116E-04 101422642
   9      -3.00      -2.75  7.054008492602945E-02  8.029976237564961E-04 127762233
  10      -2.75      -2.50  9.213886412174836E-02  1.016463603476994E-03 156717638
  11      -2.50      -2.25  1.136309993519818E-01  1.357461762362648E-03 187773807
  12      -2.25      -2.00  1.398612771055368E-01  1.290621229000109E-03 220333837
  13      -2.00      -1.75  1.676232934500168E-01  1.967977028967088E-03 253855364
  14      -1.75      -1.50  1.988541149852844E-01  1.518580585455658E-03 287549664
  15      -1.50      -1.25  2.232694357344625E-01  1.745528737095521E-03 320634295
  16      -1.25      -1.00  2.501266938549891E-01  1.801264495488071E-03 352110395
  17      -1.00      -0.75  2.737685083008014E-01  1.974590700100949E-03 380717948
  18      -0.75      -0.50  2.931551214789951E-01  2.413338472036469E-03 405255644
  19      -0.50      -0.25  3.031516289498861E-01  2.350882769965623E-03 421962527
  20      -0.25       0.00  2.945556979678720E-01  2.332548582021177E-03 404994757
  21       0.00       0.25  2.888260161270562E-01  4.427277712463149E-03 405042630
  22       0.25       0.50  3.039377721713230E-01  2.279709811103677E-03 422103110
  23       0.50       0.75  2.932484538291183E-01  2.058429041505667E-03 405546380
  24       0.75       1.00  2.745023928450759E-01  1.828612817915730E-03 381134548
  25       1.00       1.25  2.501938316015952E-01  1.993481623325845E-03 352612487
  26       1.25       1.50  2.239858950435252E-01  1.676480362568103E-03 321190929
  27       1.50       1.75  1.969817603319950E-01  1.676688542074634E-03 288099304
  28       1.75       2.00  1.687659484980525E-01  1.343144033018666E-03 254396221
  29       2.00       2.25  1.403104180484122E-01  1.864684897936407E-03 220873519
  30       2.25       2.50  1.151363952087359E-01  1.089235100993439E-03 188280609
  31       2.50       2.75  9.094638814891387E-02  1.101750395067209E-03 157180858
  32       2.75       3.00  6.925772371387226E-02  1.165513709762686E-03 128195806
  33       3.00       3.25  5.265485405448365E-02  9.397898769520266E-04 101766888
  34       3.25       3.50  3.740656290398309E-02  9.460369826945150E-04 78338889
  35       3.50       3.75  2.557923513373674E-02  5.765493242359524E-04 58095022
  36       3.75       4.00  1.690773566004149E-02  5.010714268544758E-04 41126602
  37       4.00       4.25  1.041221212956627E-02  5.195833129886310E-04 27355554
  38       4.25       4.50  5.724979235169608E-03  1.860912237167590E-04 16543552
  39       4.50       4.75  2.896749111759001E-03  7.081264005730131E-05 8348819
  40       4.75       5.00  5.390131136079433E-04  1.046531608989275E-04 2405450
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -5.1493147386101716E-03  4.8410049202147462E-05 206000
#=====================================================================================
