# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.759779421715713E-06  1.993911761774403E-08 445644
   4     180.00     240.00  1.643231452867076E-04  2.078615341814680E-07 32966065
   5     240.00     300.00  9.918046892425719E-04  5.406736459487066E-07 143018391
   6     300.00     360.00  2.101343195415761E-03  8.150412728774334E-07 255659800
   7     360.00     420.00  2.821045374703202E-03  9.525903703779765E-07 328113222
   8     420.00     480.00  3.021727047442686E-03  9.823506155874775E-07 351349717
   9     480.00     540.00  2.843213919343346E-03  9.368069714684906E-07 341118357
  10     540.00     600.00  2.492224475907204E-03  8.633678247006778E-07 317615164
  11     600.00     660.00  2.098773089101213E-03  7.768403427182033E-07 289880483
  12     660.00     720.00  1.728095080585805E-03  6.891863177689241E-07 261784289
  13     720.00     780.00  1.404753349692259E-03  6.042756489003420E-07 235202841
  14     780.00     840.00  1.133696383130583E-03  5.271935493775032E-07 211129676
  15     840.00     900.00  9.107482447676790E-04  4.564524718377596E-07 189661730
  16     900.00     960.00  7.316484664533048E-04  3.959744476988933E-07 170707220
  17     960.00    1020.00  5.875144158472997E-04  3.472260567233986E-07 153962527
  18    1020.00    1080.00  4.727038735085627E-04  2.987794980058368E-07 139226038
  19    1080.00    1140.00  3.811968540593479E-04  2.603231543570825E-07 126211800
  20    1140.00    1200.00  3.076721638888564E-04  2.260762500916346E-07 114702678
  21    1200.00    1260.00  2.494657979951235E-04  1.967417651514128E-07 104459973
  22    1260.00    1320.00  2.023787472309681E-04  1.712884175254284E-07 95360001
  23    1320.00    1380.00  1.648127516641822E-04  1.492022313730719E-07 87262622
  24    1380.00    1440.00  1.339491985649316E-04  1.286530970773252E-07 79965211
  25    1440.00    1500.00  1.095747784157622E-04  1.119663957194628E-07 73441652
  26    1500.00    1560.00  8.997485889491969E-05  9.871946518296112E-08 67562963
  27    1560.00    1620.00  7.383992800083909E-05  8.643485606634229E-08 62286354
  28    1620.00    1680.00  6.076342010389227E-05  7.545397710695852E-08 57487563
  29    1680.00    1740.00  5.010759078005472E-05  6.649772679145431E-08 53158961
  30    1740.00    1800.00  4.147366586677704E-05  5.786978237707811E-08 49190613
  31    1800.00    1860.00  3.434886156271705E-05  5.119348155015362E-08 45613363
  32    1860.00    1920.00  2.843343953222967E-05  4.417725132681372E-08 42328530
  33    1920.00    1980.00  2.366000548668057E-05  3.985962120640903E-08 39331830
  34    1980.00    2040.00  1.975039695411521E-05  3.441718330650234E-08 36604493
  35    2040.00    2100.00  1.642843522847016E-05  3.012346404456629E-08 34073174
  36    2100.00    2160.00  1.375259869371652E-05  2.662826873712621E-08 31772145
  37    2160.00    2220.00  1.147331616286226E-05  2.421835322034058E-08 29648961
  38    2220.00    2280.00  9.581041888704243E-06  2.043654784223656E-08 27697007
  39    2280.00    2340.00  8.079989968278391E-06  1.821966814557371E-08 25891047
  40    2340.00    2400.00  6.750286223493313E-06  1.587211757786862E-08 24223067
  41    2400.00    2460.00  5.695363339018936E-06  1.406318235855951E-08 22673529
  42    2460.00    2520.00  4.761364407977910E-06  1.240986293787472E-08 21244343
  43    2520.00    2580.00  4.013457478873136E-06  1.084338772728026E-08 19920092
  44    2580.00    2640.00  3.380154176558581E-06  9.802902539689830E-09 18688059
  45    2640.00    2700.00  2.867433854544669E-06  8.731182795775646E-09 17552084
  46    2700.00    2760.00  2.407415414010595E-06  7.445250147485328E-09 16492020
  47    2760.00    2820.00  2.043161971831224E-06  6.759122248388849E-09 15504114
  48    2820.00    2880.00  1.721206662846456E-06  5.814237911821811E-09 14582463
  49    2880.00    2940.00  1.461997229781515E-06  5.226642664011603E-09 13723969
  50    2940.00    3000.00  1.240335413664721E-06  4.795289034344939E-09 12923706
  51    3000.00    3060.00  1.047767475845143E-06  4.142771793224960E-09 12174406
  52    3060.00    3120.00  9.051289792722331E-07  4.465202954743173E-09 11465903
  53    3120.00    3180.00  7.561223296628649E-07  3.092889625693655E-09 10818978
  54    3180.00    3240.00  6.379487693692755E-07  2.799246797184956E-09 10197322
  55    3240.00    3300.00  5.466994694120967E-07  2.560115918259004E-09 9621828
  56    3300.00    3360.00  4.642893257628882E-07  2.199773246199187E-09 9089400
  57    3360.00    3420.00  3.937358841058422E-07  1.983130882684993E-09 8582173
  58    3420.00    3480.00  3.376482764008072E-07  1.751070765810341E-09 8104179
