# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.535122754574205E-06  4.809362815242803E-08 698084
   4     180.00     240.00  1.455421443724592E-04  1.122889625788216E-06 49111729
   5     240.00     300.00  8.864174356069457E-04  3.786790872585212E-06 210538773
   6     300.00     360.00  1.864074796135337E-03  1.491725285824135E-05 377049435
   7     360.00     420.00  2.483437415818889E-03  1.228642261339796E-05 486887433
   8     420.00     480.00  2.678164899369174E-03  8.568647524866930E-06 525822243
   9     480.00     540.00  2.469878425792383E-03  1.113358403091117E-05 515330657
  10     540.00     600.00  2.126278829587763E-03  1.145204849611314E-05 484034407
  11     600.00     660.00  1.761303624075282E-03  1.296236174746586E-05 445239710
  12     660.00     720.00  1.427735776556342E-03  1.184732747135529E-05 404905469
  13     720.00     780.00  1.142323644470915E-03  1.219648108731096E-05 366187095
  14     780.00     840.00  9.266426585795434E-04  7.520281874451180E-06 330609162
  15     840.00     900.00  7.217172973041936E-04  8.219295186295070E-06 298585133
  16     900.00     960.00  5.788010551705415E-04  6.308892993681220E-06 270016633
  17     960.00    1020.00  4.413961856398266E-04  8.830264381385996E-06 244613387
  18    1020.00    1080.00  3.530482705163907E-04  6.601962765330049E-06 222044129
  19    1080.00    1140.00  2.838454720095221E-04  6.503205883809964E-06 202077061
  20    1140.00    1200.00  2.190182272031430E-04  4.944639405362149E-06 184248666
  21    1200.00    1260.00  1.735971066146817E-04  4.880575680852022E-06 168380161
  22    1260.00    1320.00  1.392439225563189E-04  3.893932592202239E-06 154151193
  23    1320.00    1380.00  1.153506312318522E-04  3.314190561178596E-06 141416199
  24    1380.00    1440.00  9.197089463846828E-05  3.228807497041394E-06 129966500
  25    1440.00    1500.00  7.453294329779035E-05  3.031740676642184E-06 119644485
  26    1500.00    1560.00  5.752595795054294E-05  2.647370908385243E-06 110353687
  27    1560.00    1620.00  5.070897255644481E-05  2.284590227158466E-06 101931840
  28    1620.00    1680.00  3.904096285635654E-05  1.668423737772922E-06 94284747
  29    1680.00    1740.00  3.237389245711783E-05  2.223653933783407E-06 87330579
  30    1740.00    1800.00  2.524013707484118E-05  1.728054924425542E-06 80994267
  31    1800.00    1860.00  2.145369201978132E-05  1.347622424533247E-06 75199608
  32    1860.00    1920.00  1.735808293558127E-05  1.129414313675025E-06 69924283
  33    1920.00    1980.00  1.510824599014866E-05  9.392754124533488E-07 65079871
  34    1980.00    2040.00  1.283677931119958E-05  1.225042276663394E-06 60639485
  35    2040.00    2100.00  1.084792583538804E-05  6.320265032931667E-07 56541026
  36    2100.00    2160.00  7.682289477293378E-06  8.167505635652848E-07 52788625
  37    2160.00    2220.00  5.099562569814953E-06  1.478441584397816E-06 49340847
  38    2220.00    2280.00  5.584944029610449E-06  5.106269291419833E-07 46133048
  39    2280.00    2340.00  3.993843216030351E-06  8.316106658101927E-07 43178218
  40    2340.00    2400.00  3.217542187735205E-06  5.249525690027835E-07 40450928
  41    2400.00    2460.00  3.050653653706604E-06  5.392825077942500E-07 37911473
  42    2460.00    2520.00  2.648366084466684E-06  3.603270779685140E-07 35554453
  43    2520.00    2580.00  2.202765234407248E-06  3.113797624659835E-07 33389060
  44    2580.00    2640.00  1.802059766424092E-06  2.775063644428490E-07 31353676
  45    2640.00    2700.00  1.346851933461523E-06  2.630784714654757E-07 29457182
  46    2700.00    2760.00  1.503075097333332E-06  1.649312356147269E-07 27710242
  47    2760.00    2820.00  9.347300156943933E-07  1.952295336583155E-07 26073551
  48    2820.00    2880.00  8.957684642393787E-07  1.494738375693203E-07 24540600
  49    2880.00    2940.00  7.648210010701228E-07  1.551639317824444E-07 23120588
  50    2940.00    3000.00  8.598892103912210E-07  9.148398547148065E-08 21786254
  51    3000.00    3060.00  6.326151964614250E-07  7.612452213339557E-08 20529715
  52    3060.00    3120.00  3.838012200405621E-07  9.255900438719717E-08 19370203
  53    3120.00    3180.00  3.515103883368830E-07  1.001422639822975E-07 18280163
  54    3180.00    3240.00  2.315833360499547E-07  8.631583550075610E-08 17241662
  55    3240.00    3300.00  1.746438029816556E-07  1.045429455493876E-07 16277664
  56    3300.00    3360.00  3.085498314462689E-07  3.426111197238950E-08 15377254
  57    3360.00    3420.00  1.823496523605289E-07  6.814814230954052E-08 14528853
  58    3420.00    3480.00  1.164803366955300E-07  5.099913141778864E-08 13729664
