# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  2.018907426204785E-03  1.063134756184153E-05 374791625
   2      40.00      80.00  6.610118928995029E-03  3.674971126099160E-05 1113143984
   3      80.00     120.00  7.163115348124099E-03  2.448606007931488E-05 1114742040
   4     120.00     160.00  5.175507730032764E-03  2.375919231637619E-05 887326688
   5     160.00     200.00  3.478638327094614E-03  1.821698876480831E-05 693815488
   6     200.00     240.00  2.297456804678388E-03  1.460845525753038E-05 547798601
   7     240.00     280.00  1.573425023916705E-03  1.089952582438164E-05 438870315
   8     280.00     320.00  1.063912151491422E-03  1.338086326284978E-05 356638309
   9     320.00     360.00  7.459859886266372E-04  6.621866156903753E-06 293570764
  10     360.00     400.00  5.292086569362260E-04  6.049863786768109E-06 244423153
  11     400.00     440.00  3.766057551300580E-04  5.137562496595848E-06 205521707
  12     440.00     480.00  2.747809231098811E-04  4.948892516707337E-06 174370052
  13     480.00     520.00  2.027113440164419E-04  3.416140125959285E-06 149073253
  14     520.00     560.00  1.501687750595641E-04  2.890697850070554E-06 128358171
  15     560.00     600.00  1.128655732561162E-04  2.691320516144749E-06 111174147
  16     600.00     640.00  7.504944828495373E-05  6.642281282226635E-06 96838198
  17     640.00     680.00  6.375224469706951E-05  2.187712108506267E-06 84786552
  18     680.00     720.00  4.910572466853849E-05  2.284390021053761E-06 74571119
  19     720.00     760.00  4.049589599575105E-05  1.074981858458960E-06 65863531
  20     760.00     800.00  2.789764518032327E-05  1.470062987048128E-06 58392373
  21     800.00     840.00  2.396795671010758E-05  1.215123852216161E-06 51961585
  22     840.00     880.00  1.935005149059945E-05  7.490324419771427E-07 46380065
  23     880.00     920.00  1.500015100601258E-05  6.384464067127873E-07 41512121
  24     920.00     960.00  1.119128298872927E-05  8.091731166903440E-07 37267124
  25     960.00    1000.00  8.567897023574927E-06  6.226104473473645E-07 33533423
  26    1000.00    1040.00  7.808124930673159E-06  4.534938961501202E-07 30260192
  27    1040.00    1080.00  5.564680640499854E-06  5.348348418669887E-07 27367249
  28    1080.00    1120.00  5.191338704696258E-06  2.968834376540411E-07 24802967
  29    1120.00    1160.00  4.463954782006279E-06  2.943343442266917E-07 22528751
  30    1160.00    1200.00  2.855206336058548E-06  3.709315931604733E-07 20500220
  31    1200.00    1240.00  2.943495117556201E-06  1.773911580518641E-07 18677965
  32    1240.00    1280.00  2.201574281769812E-06  2.227107306855245E-07 17056080
  33    1280.00    1320.00  1.969974194969264E-06  1.279489347962731E-07 15593036
  34    1320.00    1360.00  1.547637940540022E-06  1.096442363592602E-07 14285484
  35    1360.00    1400.00  1.260755628576627E-06  1.644022053017319E-07 13097498
  36    1400.00    1440.00  1.052504653009256E-06  1.047253163941764E-07 12025842
  37    1440.00    1480.00  1.008580699825650E-06  7.760617922847893E-08 11061510
  38    1480.00    1520.00  8.285176929985699E-07  7.271706678020307E-08 10186663
  39    1520.00    1560.00  4.534135468051421E-07  1.766993535727932E-07 9387037
  40    1560.00    1600.00  5.405205392917574E-07  7.285503715529341E-08 8662440
  41    1600.00    1640.00  3.774403044016763E-07  6.616772458112697E-08 8006452
  42    1640.00    1680.00  4.204208140944842E-07  3.802394323548330E-08 7406050
  43    1680.00    1720.00  2.813545371375429E-07  4.868094469491497E-08 6856505
  44    1720.00    1760.00  1.914673846684314E-07  4.672100637790699E-08 6351232
  45    1760.00    1800.00  3.393787973045617E-08  1.820638090869260E-07 5893641
