# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.365956202967806E-02  4.665791781563484E-06 1204552492
   3      40.00      60.00  1.721150203571425E-02  3.814411466394269E-06 906536151
   4      60.00      80.00  1.112521205138487E-02  3.038262779979489E-06 588666314
   5      80.00     100.00  7.241677123766750E-03  2.445100163127774E-06 417232948
   6     100.00     120.00  4.835145873870959E-03  1.963090684816011E-06 311545522
   7     120.00     140.00  3.324219831614169E-03  1.606313751178728E-06 241155061
   8     140.00     160.00  2.338590880727511E-03  1.301610974955551E-06 191744950
   9     160.00     180.00  1.681339420775863E-03  1.079999300287019E-06 155705482
  10     180.00     200.00  1.229985312238872E-03  8.927272701174356E-07 128590535
  11     200.00     220.00  9.144041432533414E-04  7.460868852602834E-07 107717454
  12     220.00     240.00  6.886982507841651E-04  6.258156041191601E-07 91288555
  13     240.00     260.00  5.248544017157764E-04  5.270313045074750E-07 78148955
  14     260.00     280.00  4.027035370764785E-04  4.452155549359909E-07 67457007
  15     280.00     300.00  3.128527603669149E-04  3.814901553671365E-07 58721042
  16     300.00     320.00  2.436791388212328E-04  3.203017885770644E-07 51431868
  17     320.00     340.00  1.922169799283397E-04  2.838945465610543E-07 45330071
  18     340.00     360.00  1.523802337231507E-04  2.387401007170238E-07 40158826
  19     360.00     380.00  1.214032028817497E-04  2.041050341644686E-07 35746459
  20     380.00     400.00  9.708603523345187E-05  1.761261325633388E-07 31956926
  21     400.00     420.00  7.812649694274987E-05  1.499482121787497E-07 28690888
  22     420.00     440.00  6.307969018127746E-05  1.296521243056195E-07 25832987
  23     440.00     460.00  5.150042265922655E-05  1.151333698634312E-07 23348210
  24     460.00     480.00  4.179311283204270E-05  1.008797114568089E-07 21166634
  25     480.00     500.00  3.432560695005716E-05  9.221050228192610E-08 19233273
  26     500.00     520.00  2.834086580024509E-05  7.977293260035341E-08 17524213
  27     520.00     540.00  2.313417670225267E-05  6.507222836086052E-08 16006801
  28     540.00     560.00  1.923484502717293E-05  5.732349510008648E-08 14663501
  29     560.00     580.00  1.600746690681293E-05  5.217329861514104E-08 13448646
  30     580.00     600.00  1.327569071679333E-05  4.505396445129351E-08 12354832
  31     600.00     620.00  1.107931700176800E-05  3.973939328688398E-08 11374220
  32     620.00     640.00  9.337968589627932E-06  4.044692539536462E-08 10498547
  33     640.00     660.00  7.738447090831850E-06  2.993738311439689E-08 9699699
  34     660.00     680.00  6.509881660977388E-06  2.641856232757203E-08 8976890
  35     680.00     700.00  5.533420850492065E-06  2.358399188064956E-08 8314921
  36     700.00     720.00  4.662519415715829E-06  2.081869282764087E-08 7710288
  37     720.00     740.00  3.922733735671975E-06  1.929324067784324E-08 7164443
  38     740.00     760.00  3.359728818581812E-06  1.758183082819740E-08 6667476
  39     760.00     780.00  2.808327702347156E-06  1.377540832717939E-08 6204924
  40     780.00     800.00  2.406159494270491E-06  1.304634200222296E-08 5790058
  41     800.00     820.00  2.058583259748266E-06  1.141622423993020E-08 5402962
  42     820.00     840.00  1.765736420730208E-06  1.014364147306697E-08 5048075
  43     840.00     860.00  1.511993982350398E-06  9.287431609690773E-09 4723511
  44     860.00     880.00  1.304942337752881E-06  8.497848162587293E-09 4421421
  45     880.00     900.00  1.113206252042268E-06  7.592817114219908E-09 4140495
  46     900.00     920.00  9.566780065539131E-07  7.988697524525057E-09 3887258
  47     920.00     940.00  8.191912278272673E-07  6.179198885220212E-09 3643729
  48     940.00     960.00  6.901488235459184E-07  5.104077593220548E-09 3425867
  49     960.00     980.00  6.112951527726040E-07  5.062470939734087E-09 3220167
  50     980.00    1000.00  5.250771233499368E-07  4.398661016636398E-09 3029706
  51    1000.00    1020.00  4.548895838465358E-07  4.639921549406487E-09 2851506
  52    1020.00    1040.00  3.899410810698921E-07  3.210367023988637E-09 2689541
  53    1040.00    1060.00  3.456577448893668E-07  3.494672474985088E-09 2533954
  54    1060.00    1080.00  2.923940065633171E-07  2.669785909612340E-09 2386880
