# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5283716945
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  3.502453232471689E-04  4.883884495300441E-07 20396201
   3      50.00      70.00  1.738328894654056E-03  1.246176256180072E-06 78172954
   4      70.00      90.00  3.626429436324225E-03  1.883523990951380E-06 144740448
   5      90.00     110.00  5.260938555268770E-03  2.303593346282858E-06 204440117
   6     110.00     130.00  6.288891388390921E-03  2.490578253261586E-06 250079116
   7     130.00     150.00  6.704711091059354E-03  2.533673748724953E-06 277298650
   8     150.00     170.00  6.598212011001293E-03  2.454792013811290E-06 282093227
   9     170.00     190.00  6.154890037761554E-03  2.342828237950668E-06 272878337
  10     190.00     210.00  5.542822625161582E-03  2.178481546222228E-06 257026442
  11     210.00     230.00  4.890212300643503E-03  2.020683255751314E-06 238658932
  12     230.00     250.00  4.249122253310191E-03  1.856935456104656E-06 219843106
  13     250.00     270.00  3.658355605952270E-03  1.700606151065282E-06 201631698
  14     270.00     290.00  3.132811581390434E-03  1.548975289355690E-06 184583504
  15     290.00     310.00  2.673497022665127E-03  1.409691753414756E-06 168858244
  16     310.00     330.00  2.277423828818168E-03  1.282757916890024E-06 154535630
  17     330.00     350.00  1.936540922804420E-03  1.158799260146947E-06 141593153
  18     350.00     370.00  1.648157689133370E-03  1.061432662137023E-06 129862936
  19     370.00     390.00  1.403615361105870E-03  9.548274290433827E-07 119289576
  20     390.00     410.00  1.193405438432372E-03  8.614724631135689E-07 109757101
  21     410.00     430.00  1.019746362059978E-03  7.831323408159678E-07 101152904
  22     430.00     450.00  8.706964876190203E-04  7.129268014931901E-07 93368310
  23     450.00     470.00  7.452517158494553E-04  6.456659554876623E-07 86331462
  24     470.00     490.00  6.374593832173492E-04  5.852460704835686E-07 79964378
  25     490.00     510.00  5.479492668619652E-04  5.342652679677901E-07 74170998
  26     510.00     530.00  4.703854087231131E-04  4.839221047361011E-07 68902391
  27     530.00     550.00  4.059352776208876E-04  4.434032330371004E-07 64097064
  28     550.00     570.00  3.505144693025400E-04  4.043076727632957E-07 59713025
  29     570.00     590.00  3.023361310483709E-04  3.647654722478378E-07 55707318
  30     590.00     610.00  2.607657595683978E-04  3.317310796275968E-07 52027744
  31     610.00     630.00  2.261174610723533E-04  3.019917598234857E-07 48652881
  32     630.00     650.00  1.957587953791387E-04  2.774619489627524E-07 45550474
  33     650.00     670.00  1.705548737206059E-04  2.517931978924806E-07 42676303
  34     670.00     690.00  1.478501136024186E-04  2.269035143379805E-07 40052187
  35     690.00     710.00  1.287258103280586E-04  2.093791637244967E-07 37617320
  36     710.00     730.00  1.126789554931668E-04  1.925246890104945E-07 35356470
  37     730.00     750.00  9.804113150397949E-05  1.746946684027675E-07 33276457
  38     750.00     770.00  8.554029076486716E-05  1.593632369044543E-07 31326404
  39     770.00     790.00  7.468681972236745E-05  1.447451526299376E-07 29541616
  40     790.00     810.00  6.563920817993099E-05  1.342097510845100E-07 27868200
  41     810.00     830.00  5.761723539879354E-05  1.217849340567850E-07 26303504
  42     830.00     850.00  5.060289775904895E-05  1.118285832669731E-07 24848467
  43     850.00     870.00  4.445564935573728E-05  1.024680778423453E-07 23497493
  44     870.00     890.00  3.916218506754387E-05  9.339903832486339E-08 22236980
  45     890.00     910.00  3.429766288905712E-05  8.534910942240058E-08 21049410
  46     910.00     930.00  3.033968179813911E-05  7.836337350259595E-08 19944761
  47     930.00     950.00  2.669854332586909E-05  7.139669363108638E-08 18906770
