# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.839415524573322E-03  3.812840381268354E-06 7892459
   2       0.16       0.31  1.841225605612664E-03  3.856829249363500E-06 7887598
   3       0.31       0.47  1.839740096122584E-03  3.820638578564643E-06 7891117
   4       0.47       0.63  1.836201965397804E-03  3.811903080781125E-06 7890693
   5       0.63       0.79  1.842182459433921E-03  3.844215673333567E-06 7888946
   6       0.79       0.94  1.838878188159025E-03  3.889517435891886E-06 7889634
   7       0.94       1.10  1.841506435927402E-03  3.808664039031995E-06 7889014
   8       1.10       1.26  1.841459567048544E-03  3.863894674298922E-06 7895633
   9       1.26       1.41  1.838860256410296E-03  3.813587740423113E-06 7890581
  10       1.41       1.57  1.842610271486681E-03  3.848466342509830E-06 7895859
  11       1.57       1.73  1.837414888792067E-03  3.800450931051341E-06 7891863
  12       1.73       1.89  1.839311175124350E-03  3.817897957205476E-06 7903136
  13       1.89       2.04  1.833249439162136E-03  3.843896356969822E-06 7903534
  14       2.04       2.20  1.846264115633582E-03  3.899367713558941E-06 7900421
  15       2.20       2.36  1.842286079782286E-03  3.842057076797042E-06 7905622
  16       2.36       2.51  1.839244944597586E-03  3.798341436825406E-06 7904467
  17       2.51       2.67  1.845893037010585E-03  3.832213398161229E-06 7900551
  18       2.67       2.83  1.844919473425221E-03  3.876979610631496E-06 7910051
  19       2.83       2.98  1.840338093239630E-03  3.863682541609758E-06 7908865
  20       2.98       3.14  1.851495896572654E-03  3.842116709083890E-06 7909763
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  6.2078827323007027E-02  7.4079185106680992E-06 805983883
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013103540880E-03  1.1695808364261094E-06 817479000
#=====================================================================================
