# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.612735021263506E-03  2.177794287382372E-05 14738329
   2       0.16       0.31  1.596652536253441E-03  2.509552647700862E-05 15105764
   3       0.31       0.47  1.603345859004204E-03  2.838274642658595E-05 15192834
   4       0.47       0.63  1.644589689645434E-03  2.210311452174033E-05 15224986
   5       0.63       0.79  1.414666373093756E-03  1.521577791199322E-04 15247667
   6       0.79       0.94  1.544577095329675E-03  4.534134658482869E-05 15262622
   7       0.94       1.10  1.582752016025591E-03  4.116600997052596E-05 15274902
   8       1.10       1.26  1.624438996669601E-03  2.584115624364437E-05 15289050
   9       1.26       1.41  1.570874448598127E-03  3.184819555507736E-05 15297283
  10       1.41       1.57  1.573850569268395E-03  3.003389681703975E-05 15304200
  11       1.57       1.73  1.556808896851022E-03  3.098576348130453E-05 15309420
  12       1.73       1.89  1.559255296582378E-03  3.112167053404737E-05 15323656
  13       1.89       2.04  1.582177108840062E-03  3.717339192283118E-05 15324061
  14       2.04       2.20  1.595183341020873E-03  2.777799287922345E-05 15331631
  15       2.20       2.36  1.554871224600559E-03  3.300701673459405E-05 15336171
  16       2.36       2.51  1.597068509015650E-03  2.751432483076790E-05 15337984
  17       2.51       2.67  1.588546118691281E-03  2.622548827203213E-05 15348597
  18       2.67       2.83  1.542095136047407E-03  3.929280893937255E-05 15359286
  19       2.83       2.98  1.634521871777432E-03  2.515257868705797E-05 15367528
  20       2.98       3.14  1.564189638297837E-03  3.574415161723656E-05 15367120
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  6.2076247410019346E-02  7.4401023660500652E-06 800069233
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905927740961E-03  1.1746960517973142E-06 811479000
#=====================================================================================
