# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.061253469581817E-01  9.328050255073616E-04 1225685159
   2      -0.90      -0.80  2.684379617026939E-01  7.766588679197500E-04 1103786213
   3      -0.80      -0.70  2.447039221516862E-01  7.095881733178467E-04 1000123028
   4      -0.70      -0.60  2.287945565388980E-01  6.331961049825115E-04 927969982
   5      -0.60      -0.50  2.170570525367176E-01  6.483596183860968E-04 877328409
   6      -0.50      -0.40  2.088855140157842E-01  5.679494149474820E-04 841202181
   7      -0.40      -0.30  2.024350000362435E-01  5.864508740471569E-04 815733614
   8      -0.30      -0.20  1.989431553953574E-01  5.298477077713407E-04 798556885
   9      -0.20      -0.10  1.947669701022076E-01  5.400845437906383E-04 788416874
  10      -0.10       0.00  1.933375080716093E-01  5.536247609574882E-04 784437417
  11       0.00       0.10  1.935033757372976E-01  5.394141124812562E-04 786502613
  12       0.10       0.20  1.940141800675767E-01  5.357847733084136E-04 794564984
  13       0.20       0.30  1.965371188440408E-01  6.590675298423101E-04 809240683
  14       0.30       0.40  2.012223375253799E-01  4.905666603822181E-04 831480837
  15       0.40       0.50  2.066105860631638E-01  5.066878984429339E-04 863213032
  16       0.50       0.60  2.146775775513352E-01  5.627411543677962E-04 907320920
  17       0.60       0.70  2.243551615641134E-01  5.418640071561742E-04 968799698
  18       0.70       0.80  2.391998916315424E-01  6.799722671948908E-04 1055758113
  19       0.80       0.90  2.580494192485621E-01  5.435548865139767E-04 1177013620
  20       0.90       1.00  2.296564785024146E-01  5.935152860755422E-04 1123083232
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928605686E-03  1.1788769960615164E-06 811479000
#=====================================================================================
