# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.40       0.60  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.60       0.80  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.80       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.00       1.20  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.20       1.40  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.40       1.60  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.60       1.80  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.80       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.00       2.20  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.20       2.40  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.40       2.60  8.733579519266356E-04  1.363310777719162E-06 24591547
  14       2.60       2.80  5.250289577644891E-03  3.456161855369711E-06 116832918
  15       2.80       3.00  1.172575182434112E-02  5.420881298533603E-06 195390194
  16       3.00       3.20  2.228250979263254E-02  7.884990856442580E-06 280818835
  17       3.20       3.40  3.924021912158525E-02  1.107153476260180E-05 380072882
  18       3.40       3.60  6.568213455659636E-02  1.517427964578370E-05 498823426
  19       3.60       3.80  1.048727577530592E-01  2.026017476832487E-05 644386795
  20       3.80       4.00  1.583031452210375E-01  2.623292904239395E-05 828899450
  21       4.00       4.20  1.995686071005490E-01  3.135874935086769E-05 941096886
  22       4.20       4.40  2.100912978899177E-01  3.462310448209672E-05 899353912
  23       4.40       4.60  2.137385630307042E-01  3.738900129762741E-05 848776520
  24       4.60       4.80  2.107066522627160E-01  3.955174864782991E-05 790620843
  25       4.80       5.00  2.018607896982716E-01  4.107665131704841E-05 726568127
  26       5.00       5.20  1.880868739481259E-01  4.174891875836083E-05 658660433
  27       5.20       5.40  1.709934780137167E-01  4.188842581564644E-05 589114322
  28       5.40       5.60  1.516347698282177E-01  4.104847542343804E-05 520082502
  29       5.60       5.80  1.315778310145637E-01  3.987426533669750E-05 453316956
  30       5.80       6.00  1.117391139131360E-01  3.805354941976235E-05 390270961
  31       6.00       6.20  9.285970911130456E-02  3.574710635911076E-05 332064514
  32       6.20       6.40  7.568612269425756E-02  3.316050004689545E-05 279219289
  33       6.40       6.60  6.028861381284229E-02  3.016199779054419E-05 232036421
  34       6.60       6.80  4.698737682669768E-02  2.714433246926596E-05 190490497
  35       6.80       7.00  3.574291114933324E-02  2.372325251158793E-05 154380999
  36       7.00       7.20  2.653872280731511E-02  2.055634656870608E-05 123340317
  37       7.20       7.40  1.914167035861139E-02  1.743465538926056E-05 96909855
  38       7.40       7.60  1.336006920685806E-02  1.438150983011248E-05 74740299
  39       7.60       7.80  9.047946932589340E-03  1.175575276485714E-05 56429729
  40       7.80       8.00  5.859164256040128E-03  9.223931433558826E-06 41514649
  41       8.00       8.20  3.637757179555627E-03  7.074919940946132E-06 29589189
  42       8.20       8.40  2.122338885204550E-03  5.204480770513630E-06 20247699
  43       8.40       8.60  1.159798931503046E-03  3.687879979544415E-06 13110044
  44       8.60       8.80  5.838522439742676E-04  2.537448052412511E-06 7826079
  45       8.80       9.00  2.546601174486374E-04  1.588023318303654E-06 4059134
  46       9.00       9.20  8.369210400804913E-05  8.121486297504802E-07 1643948
  47       9.20       9.40  1.795832661423216E-05  3.768115987172574E-07 440001
  48       9.40       9.60  8.953688906892682E-07  8.162430417557158E-08 27828
  49       9.60       9.80  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.80      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.00      10.20  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.20      10.40  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.40      10.60  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.60      10.80  0.000000000000000E+00  0.000000000000000E+00 0
