# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.40       0.60  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.60       0.80  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.80       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.00       1.20  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.20       1.40  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.40       1.60  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.60       1.80  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.80       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.00       2.20  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.20       2.40  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.40       2.60  6.487973947468887E-04  1.601875792220227E-05 41067217
  14       2.60       2.80  4.083914237559437E-03  3.367763114495573E-05 186137291
  15       2.80       3.00  9.284035050695600E-03  5.580127154800002E-05 310323823
  16       3.00       3.20  1.804082787582168E-02  8.024821062732412E-05 446026243
  17       3.20       3.40  3.240375929506453E-02  1.069867858047379E-04 604120246
  18       3.40       3.60  5.516029716875862E-02  1.327796810768712E-04 793999208
  19       3.60       3.80  8.873182620128765E-02  1.790413363248076E-04 1028147744
  20       3.80       4.00  1.346564085219031E-01  2.377654391661254E-04 1326915579
  21       4.00       4.20  1.697789440306206E-01  3.141108826189596E-04 1505045947
  22       4.20       4.40  1.790802101204893E-01  3.329122228176777E-04 1441014958
  23       4.40       4.60  1.827798180424274E-01  3.649805317468711E-04 1362316364
  24       4.60       4.80  1.791236090177315E-01  4.027520512087901E-04 1270854014
  25       4.80       5.00  1.730117649369241E-01  3.708337571861473E-04 1169272032
  26       5.00       5.20  1.607424397987647E-01  4.459652936106745E-04 1061040091
  27       5.20       5.40  1.465803434926075E-01  4.056172629489818E-04 949699586
  28       5.40       5.60  1.298166410428160E-01  3.601139065009036E-04 838856107
  29       5.60       5.80  1.125270179166880E-01  3.608468573935860E-04 731400350
  30       5.80       6.00  9.586674374893658E-02  3.315937331456228E-04 629827104
  31       6.00       6.20  7.966398466702965E-02  2.900121796932710E-04 535835768
  32       6.20       6.40  6.515741426365211E-02  2.667116989832402E-04 450515704
  33       6.40       6.60  5.174360234051400E-02  2.405968898193474E-04 374258997
  34       6.60       6.80  4.051502175993768E-02  2.526482724601693E-04 307189332
  35       6.80       7.00  3.078787466126582E-02  1.963244219531300E-04 248822849
  36       7.00       7.20  2.288876548787304E-02  1.343220638982527E-04 198625707
  37       7.20       7.40  1.650158944713324E-02  1.165062258646973E-04 156008317
  38       7.40       7.60  1.143806628792265E-02  9.295588579276838E-05 120295958
  39       7.60       7.80  7.753454338516816E-03  1.036131575446252E-04 90776219
  40       7.80       8.00  5.069296563651151E-03  5.061213187081229E-05 66743896
  41       8.00       8.20  3.114097388542014E-03  3.948667179529855E-05 47569664
  42       8.20       8.40  1.864488114695703E-03  3.922991945413754E-05 32552033
  43       8.40       8.60  1.016691299231007E-03  1.699595396814816E-05 21105512
  44       8.60       8.80  5.015304474030542E-04  1.076553196903453E-05 12620523
  45       8.80       9.00  2.248573241437034E-04  6.733285501947568E-06 6585480
  46       9.00       9.20  8.011735221763758E-05  2.284330090348873E-06 2687583
  47       9.20       9.40  1.770174834589608E-05  1.133032989801046E-06 734921
  48       9.40       9.60  6.057365627003468E-07  1.456941176039472E-07 48814
  49       9.60       9.80  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.80      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.00      10.20  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.20      10.40  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.40      10.60  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.60      10.80  0.000000000000000E+00  0.000000000000000E+00 0
