# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  1.698741680655872E-02  1.114995460728245E-05 80794337
   3       0.40       0.60  4.815465619686141E-02  1.866046979778551E-05 228070265
   4       0.60       0.80  6.653403650738415E-02  2.172108784606052E-05 313406077
   5       0.80       1.00  8.433264225707851E-02  2.427358067449780E-05 394249642
   6       1.00       1.20  1.013639401932193E-01  2.636592283299125E-05 470086157
   7       1.20       1.40  1.178267650104985E-01  2.831580718726662E-05 540623235
   8       1.40       1.60  1.336775117441482E-01  3.017182090153154E-05 605897779
   9       1.60       1.80  1.491747677131585E-01  3.213329794004602E-05 665891613
  10       1.80       2.00  1.643093487205659E-01  3.412411260450166E-05 720650040
  11       2.00       2.20  1.794388058753608E-01  3.642255937437367E-05 770689521
  12       2.20       2.40  1.943562185965285E-01  3.886575777054766E-05 816840692
  13       2.40       2.60  2.090591667650356E-01  4.134685854459040E-05 860424218
  14       2.60       2.80  2.232027827696222E-01  4.409444494076136E-05 902546917
  15       2.80       3.00  2.357651806855224E-01  4.649027408610421E-05 944004973
  16       3.00       3.20  2.320510775404543E-01  4.758837301337851E-05 936611838
  17       3.20       3.40  1.424667313385342E-01  3.986792957142657E-05 619044590
  18       3.40       3.60  9.550387720710862E-02  3.421248055847508E-05 446775913
  19       3.60       3.80  6.647890046253056E-02  2.932302552004648E-05 334177758
  20       3.80       4.00  4.626153103808969E-02  2.494758434130752E-05 250097433
  21       4.00       4.20  3.180775036492142E-02  2.091058990270846E-05 184730706
  22       4.20       4.40  2.133282071276065E-02  1.712990835709684E-05 133253975
  23       4.40       4.60  1.382354920096286E-02  1.375548303909216E-05 92848239
  24       4.60       4.80  8.549176536185572E-03  1.074216861163806E-05 61469678
  25       4.80       5.00  4.899481615689702E-03  8.152462465762535E-06 37465968
  26       5.00       5.20  2.548184147728641E-03  5.731077646331922E-06 20339378
  27       5.20       5.40  1.172297251146667E-03  3.840164470835221E-06 9909157
  28       5.40       5.60  4.264324416487592E-04  2.212925060862095E-06 3892233
  29       5.60       5.80  9.266605246157719E-05  9.896156114078896E-07 920693
  30       5.80       6.00  3.687059976558919E-06  2.159800498675921E-07 34975
  31       6.00       6.20  0.000000000000000E+00  0.000000000000000E+00 0
  32       6.20       6.40  0.000000000000000E+00  0.000000000000000E+00 0
  33       6.40       6.60  0.000000000000000E+00  0.000000000000000E+00 0
  34       6.60       6.80  0.000000000000000E+00  0.000000000000000E+00 0
  35       6.80       7.00  0.000000000000000E+00  0.000000000000000E+00 0
  36       7.00       7.20  0.000000000000000E+00  0.000000000000000E+00 0
  37       7.20       7.40  0.000000000000000E+00  0.000000000000000E+00 0
  38       7.40       7.60  0.000000000000000E+00  0.000000000000000E+00 0
  39       7.60       7.80  0.000000000000000E+00  0.000000000000000E+00 0
  40       7.80       8.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       8.00       8.20  0.000000000000000E+00  0.000000000000000E+00 0
  42       8.20       8.40  0.000000000000000E+00  0.000000000000000E+00 0
  43       8.40       8.60  0.000000000000000E+00  0.000000000000000E+00 0
  44       8.60       8.80  0.000000000000000E+00  0.000000000000000E+00 0
  45       8.80       9.00  0.000000000000000E+00  0.000000000000000E+00 0
  46       9.00       9.20  0.000000000000000E+00  0.000000000000000E+00 0
  47       9.20       9.40  0.000000000000000E+00  0.000000000000000E+00 0
  48       9.40       9.60  0.000000000000000E+00  0.000000000000000E+00 0
