# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  1.444524087540310E-02  7.034383154138989E-05 134905206
   3       0.40       0.60  4.090089815760142E-02  2.009353948434056E-04 362748294
   4       0.60       0.80  5.719710143084698E-02  1.539361620504526E-04 496211961
   5       0.80       1.00  7.213494399775246E-02  2.133136795526916E-04 622416305
   6       1.00       1.20  8.702772835491314E-02  2.239732799383327E-04 740568719
   7       1.20       1.40  1.013402128333882E-01  2.751576907439789E-04 850252153
   8       1.40       1.60  1.155457899461200E-01  2.505247889359454E-04 951358819
   9       1.60       1.80  1.281563434803688E-01  2.869134925847964E-04 1043919255
  10       1.80       2.00  1.406770030066497E-01  3.332484362416245E-04 1128055022
  11       2.00       2.20  1.543002692769173E-01  3.227232216874570E-04 1204339479
  12       2.20       2.40  1.666347895329931E-01  3.616016454550215E-04 1274372176
  13       2.40       2.60  1.784386223356293E-01  4.238248710691189E-04 1339879670
  14       2.60       2.80  1.898563951598508E-01  4.037087462117403E-04 1402369632
  15       2.80       3.00  2.002804039699717E-01  4.261983174948526E-04 1462708761
  16       3.00       3.20  1.968407229499005E-01  4.142339672227674E-04 1442278265
  17       3.20       3.40  1.206463558629284E-01  3.476456322480037E-04 961429535
  18       3.40       3.60  8.002466040495429E-02  3.568853861615457E-04 695904216
  19       3.60       3.80  5.599618216813525E-02  2.594910762525940E-04 521575542
  20       3.80       4.00  3.882791478515595E-02  2.293756232568253E-04 390971776
  21       4.00       4.20  2.673218263076807E-02  1.897393894939264E-04 289162453
  22       4.20       4.40  1.786868825667720E-02  1.552684068971875E-04 208942194
  23       4.40       4.60  1.181713796898265E-02  9.321725048655710E-05 145841490
  24       4.60       4.80  7.192178879898232E-03  9.659778591584236E-05 96754459
  25       4.80       5.00  4.129259157965217E-03  1.211736433262638E-04 59155843
  26       5.00       5.20  2.210384628402181E-03  2.978226500190691E-05 32170102
  27       5.20       5.40  9.985240733864083E-04  2.228341908875773E-05 15741961
