# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     500.00     550.00  4.311905465020158E-04  8.407065153700260E-08 371331007
  12     550.00     600.00  4.454847021631156E-04  9.006078771715098E-08 365687412
  13     600.00     650.00  4.513855931945747E-04  9.523925857497546E-08 357489140
  14     650.00     700.00  4.503631166621643E-04  9.931120080072116E-08 347729976
  15     700.00     750.00  4.444381603103962E-04  1.028787158883145E-07 336952331
  16     750.00     800.00  4.344491367719143E-04  1.055655908186406E-07 325644493
  17     800.00     850.00  4.220108989463899E-04  1.075787509765206E-07 314118614
  18     850.00     900.00  4.073478578299937E-04  1.087939711578749E-07 302624609
  19     900.00     950.00  3.912984604478197E-04  1.095192851347976E-07 291205391
  20     950.00    1000.00  3.747222959194999E-04  1.103549022795368E-07 280015602
  21    1000.00    1050.00  3.575334155611458E-04  1.102805619130781E-07 269204577
  22    1050.00    1100.00  3.406567545851289E-04  1.101921637293061E-07 258724526
  23    1100.00    1150.00  3.232829963060154E-04  1.091740367073629E-07 248651146
  24    1150.00    1200.00  3.065775771162023E-04  1.081137121292582E-07 238962916
  25    1200.00    1250.00  2.899529321732449E-04  1.067493850699889E-07 229672616
  26    1250.00    1300.00  2.744682390763010E-04  1.058366981804268E-07 220791156
  27    1300.00    1350.00  2.591725024088013E-04  1.042237450928030E-07 212328018
  28    1350.00    1400.00  2.445761059201097E-04  1.026591677336562E-07 204183333
  29    1400.00    1450.00  2.306600406515759E-04  1.006296534384634E-07 196472077
  30    1450.00    1500.00  2.174762684876034E-04  9.878446491407299E-08 189085528
  31    1500.00    1550.00  2.046809439712091E-04  9.670255492593362E-08 182041382
  32    1550.00    1600.00  1.923985257588948E-04  9.437745792318023E-08 175285378
  33    1600.00    1650.00  1.810682830224883E-04  9.234958816027779E-08 168887379
  34    1650.00    1700.00  1.702839830892381E-04  8.992198143947248E-08 162755688
  35    1700.00    1750.00  1.598714735236260E-04  8.758771058972157E-08 156891913
  36    1750.00    1800.00  1.502475096320788E-04  8.561956362106434E-08 151283860
  37    1800.00    1850.00  1.412376625004323E-04  8.314935651793696E-08 145984446
  38    1850.00    1900.00  1.323342108207596E-04  8.060836502083625E-08 140830671
  39    1900.00    1950.00  1.243596848253036E-04  7.838737349324159E-08 135994461
