# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     500.00     550.00  3.942508233338234E-04  3.727089113980544E-07 631175383
  12     550.00     600.00  4.037490978586236E-04  4.818883377815429E-07 623203822
  13     600.00     650.00  4.075226913580085E-04  4.855683794758360E-07 610793982
  14     650.00     700.00  4.040950665146328E-04  5.934489708909983E-07 595423117
  15     700.00     750.00  3.962417514750000E-04  5.857488381681776E-07 578273079
  16     750.00     800.00  3.867584897796011E-04  6.431491182720706E-07 560030662
  17     800.00     850.00  3.739134130893886E-04  6.478307315044152E-07 541247641
  18     850.00     900.00  3.577850272087618E-04  7.451923001537688E-07 522293023
  19     900.00     950.00  3.415766391354745E-04  7.958742044219358E-07 503490929
  20     950.00    1000.00  3.277351894301262E-04  7.654328059604355E-07 484990436
  21    1000.00    1050.00  3.100038002981647E-04  9.390925662725613E-07 466979329
  22    1050.00    1100.00  2.949324365952180E-04  7.834873918499104E-07 449453562
  23    1100.00    1150.00  2.775841153165186E-04  9.698279071779391E-07 432540040
  24    1150.00    1200.00  2.610088903348240E-04  8.777524397262977E-07 416249412
  25    1200.00    1250.00  2.475052545063551E-04  1.066963411107000E-06 400588437
  26    1250.00    1300.00  2.349973099860560E-04  8.083664374005496E-07 385595920
  27    1300.00    1350.00  2.190865474213870E-04  8.931138176201270E-07 371168831
  28    1350.00    1400.00  2.062773132885253E-04  8.342747878227266E-07 357445284
  29    1400.00    1450.00  1.937705122382128E-04  8.908580874085016E-07 344205100
  30    1450.00    1500.00  1.814358578023822E-04  8.660584605832707E-07 331594642
  31    1500.00    1550.00  1.716735994231199E-04  8.204502541580508E-07 319500196
  32    1550.00    1600.00  1.600480562726148E-04  9.286809249769249E-07 307997881
  33    1600.00    1650.00  1.474193671138447E-04  1.234514957129933E-06 296995986
  34    1650.00    1700.00  1.420587036920625E-04  8.033089341442171E-07 286464675
  35    1700.00    1750.00  1.316475368084131E-04  8.901514038568469E-07 276363457
  36    1750.00    1800.00  1.242695506139678E-04  8.041379118242457E-07 266721163
  37    1800.00    1850.00  1.146585520780240E-04  9.381171853173333E-07 257496987
  38    1850.00    1900.00  1.080201095975913E-04  8.437917454597793E-07 248706734
  39    1900.00    1950.00  1.007996106363530E-04  8.112620425399010E-07 240233055
