# title = Invariant mass 4 leptons
# xlabel = $M_{4 \ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4 \ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  3.585608116520248E-09  1.535980173193606E-10 106921
   2     100.00     200.00  6.023420601393926E-04  9.121510784333571E-07 2070327774
   3     200.00     300.00  1.581335823319040E-03  1.373601144631724E-06 3616733289
   4     300.00     400.00  9.222688973274000E-04  1.222248052717068E-06 2502974347
   5     400.00     500.00  5.171381826949679E-04  1.037728056156444E-06 1823801386
   6     500.00     600.00  2.980399221688050E-04  8.839580061838363E-07 1379272304
   7     600.00     700.00  1.803989106529733E-04  6.553531953889852E-07 1072452090
   8     700.00     800.00  1.104893614880129E-04  5.891141704696418E-07 851838725
   9     800.00     900.00  6.999916642514591E-05  4.548580189900275E-07 687985897
  10     900.00    1000.00  4.498347828856725E-05  3.793828709206309E-07 563131950
  11    1000.00    1100.00  2.963333363287792E-05  2.787302281465908E-07 466218255
  12    1100.00    1200.00  1.945449701651209E-05  2.582673245423924E-07 389480119
  13    1200.00    1300.00  1.335930325563735E-05  1.945689922744835E-07 327988876
  14    1300.00    1400.00  9.279217118004909E-06  2.127412072118856E-07 278087836
  15    1400.00    1500.00  6.410204282216947E-06  2.535798445131269E-07 237191915
  16    1500.00    1600.00  4.576461858155571E-06  9.347207102066716E-08 203342810
  17    1600.00    1700.00  3.176478985828509E-06  8.929181560251519E-08 175184273
  18    1700.00    1800.00  2.292502872090550E-06  6.835956011309797E-08 151502521
  19    1800.00    1900.00  1.513551596261832E-06  8.763005183875072E-08 131530009
  20    1900.00    2000.00  1.244812183493579E-06  4.286549053661096E-08 114605403
  21    2000.00    2100.00  8.588177343104314E-07  3.856514381467594E-08 100127659
  22    2100.00    2200.00  6.230410199143027E-07  2.931306268757220E-08 87747896
  23    2200.00    2300.00  4.855113696884538E-07  2.173357625603758E-08 77087989
  24    2300.00    2400.00  3.449588199595892E-07  2.407642420701407E-08 67892486
  25    2400.00    2500.00  2.647579641927569E-07  1.496597663262789E-08 59907822
  26    2500.00    2600.00  2.030281682127079E-07  1.149179693287450E-08 52976719
  27    2600.00    2700.00  1.355653459302103E-07  1.873360118191839E-08 46941444
  28    2700.00    2800.00  9.814812932891511E-08  1.694013645840494E-08 41664816
  29    2800.00    2900.00  8.334611617569985E-08  9.846978725374303E-09 37039799
  30    2900.00    3000.00  7.513374703285185E-08  5.828291778651204E-09 32978169
  31    3000.00    3100.00  4.066989539004741E-08  6.339073421690563E-09 29393256
  32    3100.00    3200.00  4.374175569066519E-08  4.515881946819830E-09 26249262
  33    3200.00    3300.00  2.186827640068087E-08  6.084479855713624E-09 23465004
  34    3300.00    3400.00  2.768222560771158E-08  2.606301479002882E-09 21005654
