# title = Invariant mass 4 leptons
# xlabel = $M_{4 \ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4 \ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  1.989579075333327E-13  1.537283504717247E-13 3
   3      40.00      60.00  2.491125252625828E-11  7.265733525023803E-12 77
   4      60.00      80.00  4.661631668224456E-10  7.488305638069090E-11 769
   5      80.00     100.00  1.142684138816175E-08  4.614963549471636E-10 20050
   6     100.00     120.00  4.952380644967001E-07  4.581440190909495E-09 452236
   7     120.00     140.00  5.796865955466825E-06  1.673499969839143E-08 4394080
   8     140.00     160.00  7.050617846053473E-05  6.836932508864763E-08 61165468
   9     160.00     180.00  1.284515628095830E-03  3.078693205056225E-07 678561291
  10     180.00     200.00  1.988109716744533E-03  3.733422937130659E-07 631839262
  11     200.00     220.00  2.066766131042177E-03  3.752220562587824E-07 567594257
  12     220.00     240.00  1.973558348728148E-03  3.668889406812121E-07 516768359
  13     240.00     260.00  1.820592964941143E-03  3.556364695847194E-07 473475619
  14     260.00     280.00  1.652634563152695E-03  3.454097936118357E-07 435549452
  15     280.00     300.00  1.486875095715017E-03  3.342065830854093E-07 401988971
  16     300.00     320.00  1.331126509396965E-03  3.233737480943410E-07 372069142
  17     320.00     340.00  1.190758118701663E-03  3.135470945278320E-07 345269258
  18     340.00     360.00  1.063080969337501E-03  3.026495382938126E-07 321206384
  19     360.00     380.00  9.499090465944817E-04  2.929348649776664E-07 299512551
  20     380.00     400.00  8.494644395173443E-04  2.831940046967824E-07 279869454
  21     400.00     420.00  7.595107882201868E-04  2.720898096496651E-07 262032541
  22     420.00     440.00  6.807513874967294E-04  2.625509414003055E-07 245772724
  23     440.00     460.00  6.102675720855396E-04  2.519530629784524E-07 230987542
  24     460.00     480.00  5.485883495391340E-04  2.427015729220631E-07 217380284
  25     480.00     500.00  4.934850680892258E-04  2.333925933358177E-07 204912445
  26     500.00     520.00  4.445488303900139E-04  2.232258999802797E-07 193475093
  27     520.00     540.00  4.005880426889712E-04  2.133794806469676E-07 182872210
  28     540.00     560.00  3.622678520005685E-04  2.054556573266486E-07 173091196
  29     560.00     580.00  3.274556442066517E-04  1.960421750140462E-07 164036348
  30     580.00     600.00  2.966597249491661E-04  1.885181700870689E-07 155616460
  31     600.00     620.00  2.687677441815500E-04  1.803465496226662E-07 147793285
  32     620.00     640.00  2.440529757401215E-04  1.725067061069274E-07 140487798
  33     640.00     660.00  2.217868330624066E-04  1.643810859522771E-07 133691149
  34     660.00     680.00  2.020283025375886E-04  1.586310573747492E-07 127306497
  35     680.00     700.00  1.837947785659413E-04  1.503021725075766E-07 121373232
  36     700.00     720.00  1.678603117535542E-04  1.444451257644165E-07 115808613
  37     720.00     740.00  1.531856020653589E-04  1.381053914860924E-07 110541938
  38     740.00     760.00  1.400789509836858E-04  1.321532438374798E-07 105638626
  39     760.00     780.00  1.280805831028570E-04  1.280990560280149E-07 101012497
  40     780.00     800.00  1.170872296355444E-04  1.193177166448511E-07 96640871
  41     800.00     820.00  1.074521789742202E-04  1.150581814937750E-07 92506717
  42     820.00     840.00  9.842780758853839E-05  1.092984113281586E-07 88622889
  43     840.00     860.00  9.039505785291424E-05  1.063725379862249E-07 84964857
  44     860.00     880.00  8.316930280429771E-05  1.000931154247867E-07 81499352
  45     880.00     900.00  7.634428948063842E-05  9.676438337859135E-08 78204389
  46     900.00     920.00  7.028879088463284E-05  9.537099596653436E-08 75071331
