# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  4.259901974386247E-15  4.259901974169123E-15 1
   7     600.00     700.00  1.349402765155770E-06  8.758215168905590E-10 17822474
   8     700.00     800.00  5.753492500483000E-05  1.208333681852930E-08 163253759
   9     800.00     900.00  1.635234887322688E-04  2.802037829326343E-08 277714666
  10     900.00    1000.00  2.439230640608635E-04  4.094268838018810E-08 343716629
  11    1000.00    1100.00  2.918865826852316E-04  5.045225455219445E-08 377814119
  12    1100.00    1200.00  3.153661153623463E-04  5.737099636533937E-08 391758581
  13    1200.00    1300.00  3.222081804351467E-04  6.239668069139941E-08 393689139
  14    1300.00    1400.00  3.180055146289830E-04  6.597153774271599E-08 388377363
  15    1400.00    1500.00  3.069167739436702E-04  6.847868795816007E-08 378847758
  16    1500.00    1600.00  2.911860402849267E-04  6.980971315615197E-08 366803082
  17    1600.00    1700.00  2.730641011238738E-04  7.034156162264344E-08 353409556
  18    1700.00    1800.00  2.537442533692686E-04  7.027492467151754E-08 339395100
  19    1800.00    1900.00  2.342806281235144E-04  6.956471878626513E-08 325229058
  20    1900.00    2000.00  2.150189593323039E-04  6.867095463903167E-08 311170076
  21    2000.00    2100.00  1.966075010090913E-04  6.713929186223680E-08 297502915
  22    2100.00    2200.00  1.787363195822129E-04  6.506536927963180E-08 284229791
  23    2200.00    2300.00  1.621567830628874E-04  6.301199851410814E-08 271451188
  24    2300.00    2400.00  1.466495109696064E-04  6.061442999847996E-08 259241839
  25    2400.00    2500.00  1.323424681785959E-04  5.807951285582382E-08 247587921
  26    2500.00    2600.00  1.192162548599045E-04  5.559516648479143E-08 236420909
  27    2600.00    2700.00  1.070747149706496E-04  5.275612700771879E-08 225845726
  28    2700.00    2800.00  9.613421004462499E-05  5.006190313121425E-08 215835662
  29    2800.00    2900.00  8.600720210289332E-05  4.719340413443859E-08 206282343
  30    2900.00    3000.00  7.696775939678140E-05  4.458596685673541E-08 197204853
