# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.901976061777719E-02  1.786135289846108E-05 323220006
   2      -2.25      -2.00  5.267039766681769E-02  2.130534986696806E-05 383838764
   3      -2.00      -1.75  6.815300980271274E-02  2.456729693260199E-05 446229818
   4      -1.75      -1.50  8.455605235801499E-02  2.695268052041208E-05 507742908
   5      -1.50      -1.25  1.010961352319731E-01  2.875134147519686E-05 566396158
   6      -1.25      -1.00  1.166926519087986E-01  2.972349057385772E-05 619844541
   7      -1.00      -0.75  1.304270899138697E-01  2.994029964125945E-05 666213358
   8      -0.75      -0.50  1.414883773634359E-01  2.985495582265973E-05 703649755
   9      -0.50      -0.25  1.492480582747601E-01  2.958833336199436E-05 730825579
  10      -0.25       0.00  1.532370484777871E-01  2.930731429807073E-05 746410654
  11       0.00       0.25  1.532485047713406E-01  2.920010886262672E-05 749562722
  12       0.25       0.50  1.492832434368415E-01  2.925435450914592E-05 739651239
  13       0.50       0.75  1.415119419396340E-01  2.935839749372402E-05 716706720
  14       0.75       1.00  1.303962013729533E-01  2.928521246047677E-05 681317030
  15       1.00       1.25  1.167133482260899E-01  2.893641001172764E-05 634564709
  16       1.25       1.50  1.011109212417836E-01  2.794777667436604E-05 578311606
  17       1.50       1.75  8.457316981520036E-02  2.621143628691359E-05 514844129
  18       1.75       2.00  6.812870792057768E-02  2.375247014246137E-05 447107317
  19       2.00       2.25  5.270692098049112E-02  2.083518833783612E-05 378078036
  20       2.25       2.50  3.901958092870528E-02  1.740918267648447E-05 311232951
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013104418511E-03  1.1737002033051460E-06 817479000
#=====================================================================================
