# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.369381131828732E-02  1.404831702908101E-04 499924464
   2      -2.25      -2.00  4.531167387743033E-02  1.645740552272036E-04 596338313
   3      -2.00      -1.75  5.818773213775023E-02  2.560621188532383E-04 696019571
   4      -1.75      -1.50  7.249589409806394E-02  2.291570221588592E-04 795174907
   5      -1.50      -1.25  8.623431537944383E-02  2.521260285149106E-04 890105430
   6      -1.25      -1.00  9.943691039768857E-02  2.719571010814725E-04 977204487
   7      -1.00      -0.75  1.112678362816927E-01  2.548356289403970E-04 1053140039
   8      -0.75      -0.50  1.200419305119499E-01  2.867793928984055E-04 1114957928
   9      -0.50      -0.25  1.271511821542375E-01  2.810626055436003E-04 1160091038
  10      -0.25       0.00  1.305519206399282E-01  2.610586105683438E-04 1186464229
  11       0.00       0.25  1.303795636581931E-01  2.890809918342232E-04 1192482167
  12       0.25       0.50  1.273188241835269E-01  2.632919252946499E-04 1177399527
  13       0.50       0.75  1.201995472663685E-01  2.879728725901344E-04 1141016338
  14       0.75       1.00  1.109788735010465E-01  3.032679947591924E-04 1084411048
  15       1.00       1.25  9.944999370572308E-02  2.786970856096827E-04 1009466015
  16       1.25       1.50  8.589944835728784E-02  2.572784587868495E-04 919183614
  17       1.50       1.75  7.240227442643735E-02  2.188680679981484E-04 817526349
  18       1.75       2.00  5.873792251095232E-02  1.844315195328714E-04 709297633
  19       2.00       2.25  4.526148898402182E-02  1.828170834826100E-04 599262808
  20       2.25       2.50  3.352410230798469E-02  1.333491329965945E-04 492872147
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928620466E-03  1.1788304920125574E-06 811479000
#=====================================================================================
