# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.061855832520944E-07  1.091067288988801E-09 155526
   7      -3.00      -2.75  1.218552117814462E-05  3.021134926359518E-08 3266220
   8      -2.75      -2.50  1.503711596727299E-04  1.886069218472621E-07 16010187
   9      -2.50      -2.25  9.145687642795369E-04  7.179385268662964E-07 46248902
  10      -2.25      -2.00  3.651555581639140E-03  1.955737299224582E-06 101638323
  11      -2.00      -1.75  1.074574818220919E-02  4.215520263534826E-06 186431471
  12      -1.75      -1.50  2.541120764264166E-02  7.822633061141192E-06 299808801
  13      -1.50      -1.25  5.073337878635038E-02  1.295918441503560E-05 436249002
  14      -1.25      -1.00  8.865666663852648E-02  1.976749522616478E-05 588974717
  15      -1.00      -0.75  1.382732037188134E-01  2.801771313516431E-05 750604274
  16      -0.75      -0.50  1.944493105032926E-01  3.699535623475726E-05 913153259
  17      -0.50      -0.25  2.459349722742214E-01  4.489511159576868E-05 1063732991
  18      -0.25       0.00  2.777067808871890E-01  4.952901946315468E-05 1179104074
  19       0.00       0.25  2.777945724030499E-01  4.947760661335514E-05 1190579122
  20       0.25       0.50  2.458794753776091E-01  4.450036107085233E-05 1092061796
  21       0.50       0.75  1.943627323274832E-01  3.638507047765483E-05 950387263
  22       0.75       1.00  1.383189062540126E-01  2.743726328012697E-05 791190570
  23       1.00       1.25  8.865424727914081E-02  1.911336273948169E-05 628745699
  24       1.25       1.50  5.073361199551118E-02  1.240759257528879E-05 472278862
  25       1.50       1.75  2.541464249946218E-02  7.467285004222238E-06 329866966
  26       1.75       2.00  1.075486523848343E-02  4.058472250412028E-06 209262291
  27       2.00       2.25  3.651076938557712E-03  1.809046030338004E-06 117035496
  28       2.25       2.50  9.143367189649628E-04  6.574453125963063E-07 54981278
  29       2.50       2.75  1.503486684707358E-04  1.724521946651386E-07 19702702
  30       2.75       3.00  1.214576959978015E-05  2.694075200624871E-08 4103149
  31       3.00       3.25  1.049321645171216E-07  1.090952062952666E-09 175059
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013104400453E-03  1.1735257816165027E-06 817479000
#=====================================================================================
