# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  1.429450236897177E-02  7.814025088646545E-06 212568417
   2      -4.25      -4.00  2.424993743239110E-02  1.124325461518360E-05 267546931
   3      -4.00      -3.75  3.736471788525219E-02  1.508110311828666E-05 320416491
   4      -3.75      -3.50  5.287774450569128E-02  1.910452566241297E-05 367731541
   5      -3.50      -3.25  6.929822935693701E-02  2.285584020930400E-05 406761199
   6      -3.25      -3.00  8.472434393617030E-02  2.593282941098540E-05 435275672
   7      -3.00      -2.75  9.699808020078968E-02  2.814789445300814E-05 452090102
   8      -2.75      -2.50  1.039095301096296E-01  2.891579498077309E-05 455997461
   9      -2.50      -2.25  1.044840240918804E-01  2.832947345581717E-05 447045819
  10      -2.25      -2.00  9.932760385852792E-02  2.660665957372071E-05 427069790
  11      -2.00      -1.75  8.930123527910752E-02  2.401774803161405E-05 397157038
  12      -1.75      -1.50  7.580834485138170E-02  2.073438881390813E-05 358562492
  13      -1.50      -1.25  6.073738963452360E-02  1.721316951591990E-05 314213300
  14      -1.25      -1.00  4.575132502311378E-02  1.365409923894783E-05 268111494
  15      -1.00      -0.75  3.230969982232456E-02  1.044038518941750E-05 224589870
  16      -0.75      -0.50  2.144945414498275E-02  7.480511770683722E-06 187311857
  17      -0.50      -0.25  1.384235356369990E-02  5.181299978276752E-06 159311518
  18      -0.25       0.00  9.950708354832286E-03  3.840164982760886E-06 142876945
  19       0.00       0.25  9.945225720528018E-03  4.081196752824079E-06 139241357
  20       0.25       0.50  1.384327006965146E-02  5.756368209747969E-06 148798599
  21       0.50       0.75  2.145468707311963E-02  8.261316156920169E-06 171115513
  22       0.75       1.00  3.230557762735199E-02  1.127193434485082E-05 204382953
  23       1.00       1.25  4.576216440197391E-02  1.468750678662879E-05 245976012
  24       1.25       1.50  6.076368786871010E-02  1.831796519533905E-05 292341778
  25       1.50       1.75  7.583149220926506E-02  2.184753671512860E-05 339054797
  26       1.75       2.00  8.928370069839794E-02  2.507749044469152E-05 381607216
  27       2.00       2.25  9.933019119328618E-02  2.768259280144710E-05 416280306
  28       2.25       2.50  1.045058417808494E-01  2.939224804385918E-05 440635342
  29       2.50       2.75  1.038112516593214E-01  2.993043509060012E-05 452836757
  30       2.75       3.00  9.699008736540315E-02  2.929577537060300E-05 450201279
  31       3.00       3.25  8.467159069210213E-02  2.716963729472211E-05 432258146
  32       3.25       3.50  6.927576996097987E-02  2.431343530536365E-05 400200929
  33       3.50       3.75  5.287924671880583E-02  2.062928889117155E-05 355721722
  34       3.75       4.00  3.737573165496150E-02  1.666237941879284E-05 301995537
  35       4.00       4.25  2.427112108113529E-02  1.270682303591217E-05 243434192
  36       4.25       4.50  1.430126005371213E-02  9.038377888948920E-06 185027628
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013104425675E-03  1.1737961456282045E-06 817479000
#=====================================================================================
