# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  1.238431340559130E-02  4.757166948215679E-05 331089386
   2      -4.25      -4.00  2.113581234226490E-02  8.305925314493427E-05 418373197
   3      -4.00      -3.75  3.232436432016238E-02  1.182704823612163E-04 503059948
   4      -3.75      -3.50  4.523968914932202E-02  1.641702531964284E-04 579455336
   5      -3.50      -3.25  5.935520128790463E-02  1.966693465313250E-04 642889084
   6      -3.25      -3.00  7.232247595181775E-02  2.250872978974842E-04 689799993
   7      -3.00      -2.75  8.221132666619296E-02  2.640420681226126E-04 717940835
   8      -2.75      -2.50  8.818879377929785E-02  2.552979274548927E-04 725216227
   9      -2.50      -2.25  8.874637686377880E-02  2.636613991551284E-04 711595154
  10      -2.25      -2.00  8.397744726567559E-02  2.641567515395444E-04 680230577
  11      -2.00      -1.75  7.564545899724344E-02  2.315081835564378E-04 632616528
  12      -1.75      -1.50  6.429393193651071E-02  2.253586713649735E-04 570930440
  13      -1.50      -1.25  5.160140637521681E-02  1.631554380921730E-04 500060751
  14      -1.25      -1.00  3.917697332428415E-02  1.346391381961425E-04 426322262
  15      -1.00      -0.75  2.787320518970649E-02  8.701347626001365E-05 356774227
  16      -0.75      -0.50  1.867127163150099E-02  5.159228581700742E-05 297315559
  17      -0.50      -0.25  1.209415799020751E-02  3.461430631834212E-05 252865051
  18      -0.25       0.00  8.776899819684712E-03  2.569477593246539E-05 227011701
  19       0.00       0.25  8.761001709228054E-03  2.649637934144532E-05 221716581
  20       0.25       0.50  1.216671601704264E-02  3.359998021918608E-05 237555067
  21       0.50       0.75  1.856338270305145E-02  5.924725129573391E-05 273617264
  22       0.75       1.00  2.785210082903807E-02  8.810177522686540E-05 327100765
  23       1.00       1.25  3.923447505069912E-02  1.213529519098896E-04 393646724
  24       1.25       1.50  5.169842894411587E-02  1.763224663412481E-04 467502884
  25       1.50       1.75  6.433563628440933E-02  1.931925453506176E-04 541640880
  26       1.75       2.00  7.582445008994297E-02  2.303643173658474E-04 608697285
  27       2.00       2.25  8.404815652125489E-02  2.965458852900949E-04 662801742
  28       2.25       2.50  8.896183449095922E-02  2.698939749077315E-04 700247862
  29       2.50       2.75  8.787381097028188E-02  2.927664888496910E-04 717906469
  30       2.75       3.00  8.254405805762893E-02  2.620652583471166E-04 711984426
  31       3.00       3.25  7.233040795069608E-02  2.520440801792799E-04 681801451
  32       3.25       3.50  5.930432980122789E-02  2.061025999056776E-04 629482784
  33       3.50       3.75  4.548723307375144E-02  1.556491451031828E-04 557989211
  34       3.75       4.00  3.220750456079667E-02  1.413932266822024E-04 472566165
  35       4.00       4.25  2.095119558516736E-02  8.920292642621137E-05 380183286
  36       4.25       4.50  1.236141676241065E-02  5.880725090333621E-05 288629415
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928615210E-03  1.1789267634832808E-06 811479000
#=====================================================================================
