# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.900636704663718E-02  1.792228214964613E-05 322521687
   2      -2.25      -2.00  5.273770504207993E-02  2.137775897353881E-05 383044432
   3      -2.00      -1.75  6.814433466799417E-02  2.448023567712004E-05 445301506
   4      -1.75      -1.50  8.457721305661692E-02  2.697317578073873E-05 506793840
   5      -1.50      -1.25  1.010953481544847E-01  2.863322776731104E-05 565428843
   6      -1.25      -1.00  1.166619175462428E-01  2.961505896988831E-05 618927851
   7      -1.00      -0.75  1.303730007480166E-01  2.986341022109884E-05 665409709
   8      -0.75      -0.50  1.414945784596238E-01  2.981864329694092E-05 703067257
   9      -0.50      -0.25  1.492621353029338E-01  2.954317623429396E-05 730409312
  10      -0.25       0.00  1.532349844099155E-01  2.933610201925362E-05 746236160
  11       0.00       0.25  1.532600546755471E-01  2.922577323841822E-05 749678545
  12       0.25       0.50  1.492403347401018E-01  2.923095200156871E-05 740012204
  13       0.50       0.75  1.415073130901926E-01  2.936781902006680E-05 717322549
  14       0.75       1.00  1.304576750042984E-01  2.933331653519305E-05 682080116
  15       1.00       1.25  1.167010900730879E-01  2.895028918859785E-05 635448072
  16       1.25       1.50  1.010827704717255E-01  2.794546048985147E-05 579246600
  17       1.50       1.75  8.455889998777473E-02  2.623520087342004E-05 515821422
  18       1.75       2.00  6.816804371693774E-02  2.390791416038516E-05 448064826
  19       2.00       2.25  5.270051357305287E-02  2.094810189860753E-05 378946684
  20       2.25       2.50  3.901684248220243E-02  1.744656236361351E-05 311986385
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013104419066E-03  1.1737002162543748E-06 817479000
#=====================================================================================
