# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.369097634408591E-02  1.313114970187644E-04 504740255
   2      -2.25      -2.00  4.512236138018991E-02  1.729533176889589E-04 601731348
   3      -2.00      -1.75  5.841583597090969E-02  2.331195632930268E-04 701937291
   4      -1.75      -1.50  7.237426641398201E-02  2.512418783963237E-04 801245657
   5      -1.50      -1.25  8.631038405759671E-02  2.639934789210421E-04 896059366
   6      -1.25      -1.00  9.949507043945124E-02  2.613568717210272E-04 982776710
   7      -1.00      -0.75  1.113112640331560E-01  2.509171222897478E-04 1057832175
   8      -0.75      -0.50  1.204988129365353E-01  2.911009520266346E-04 1118596523
   9      -0.50      -0.25  1.268662812032387E-01  2.858333610486459E-04 1162272754
  10      -0.25       0.00  1.307998212180124E-01  2.809979036127918E-04 1187095768
  11       0.00       0.25  1.299540499822004E-01  2.996162995712718E-04 1191524945
  12       0.25       0.50  1.272338998607074E-01  2.636400041427146E-04 1174908362
  13       0.50       0.75  1.204423191303431E-01  2.688196182073967E-04 1137181021
  14       0.75       1.00  1.108734905839512E-01  2.835720154011087E-04 1079424335
  15       1.00       1.25  9.964222132693713E-02  2.556487193995339E-04 1003667337
  16       1.25       1.50  8.586979741351790E-02  2.683839802349944E-04 913069143
  17       1.50       1.75  7.201960044286788E-02  2.271579003462221E-04 811443728
  18       1.75       2.00  5.847180852665572E-02  1.896452201494164E-04 703299813
  19       2.00       2.25  4.544002749271310E-02  1.666080368054418E-04 593718963
  20       2.25       2.50  3.369295694095172E-02  1.637492828122318E-04 487973071
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928609555E-03  1.1788304948164308E-06 811479000
#=====================================================================================
