# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  1.865834735309471E-05  3.016753831472234E-07 610883
   2      -8.75      -8.50  9.984650449909509E-05  7.800591742170661E-07 2430186
   3      -8.50      -8.25  2.823389652756072E-04  1.442107420207430E-06 5370149
   4      -8.25      -8.00  6.420683811378268E-04  2.351616504425828E-06 9743473
   5      -8.00      -7.75  1.284072300065643E-03  3.425314316017982E-06 15902333
   6      -7.75      -7.50  2.339192973065245E-03  4.801876215919594E-06 24230864
   7      -7.50      -7.25  3.966159826297578E-03  6.472876702800596E-06 35070977
   8      -7.25      -7.00  6.341195613504632E-03  8.376913465106311E-06 48867114
   9      -7.00      -6.75  9.589744950138323E-03  1.036448630931855E-05 65935746
  10      -6.75      -6.50  1.390770143945790E-02  1.256712214219066E-05 86634345
  11      -6.50      -6.25  1.934847572946317E-02  1.486450158638639E-05 111194789
  12      -6.25      -6.00  2.594176041230767E-02  1.688686113758438E-05 139795633
  13      -6.00      -5.75  3.366710899402774E-02  1.887230732312644E-05 172495738
  14      -5.75      -5.50  4.242882753347620E-02  2.078620633869804E-05 209129293
  15      -5.50      -5.25  5.180966899441197E-02  2.221752993843025E-05 249061703
  16      -5.25      -5.00  6.144204031761603E-02  2.333281837886054E-05 290997384
  17      -5.00      -4.75  7.068463420933792E-02  2.403438575071076E-05 333557899
  18      -4.75      -4.50  7.885734296356585E-02  2.424375743687341E-05 374717958
  19      -4.50      -4.25  8.504968471373178E-02  2.394116798455153E-05 412169233
  20      -4.25      -4.00  8.862453081856905E-02  2.305848496834216E-05 443854960
  21      -4.00      -3.75  8.908484920253852E-02  2.179919292380373E-05 467531448
  22      -3.75      -3.50  8.619907884632667E-02  2.013403543074156E-05 481844547
  23      -3.50      -3.25  8.020636770281711E-02  1.815765750559307E-05 486117120
  24      -3.25      -3.00  7.179772930232060E-02  1.595332626315872E-05 480914903
  25      -3.00      -2.75  6.180946298854576E-02  1.370419561656005E-05 467880416
  26      -2.75      -2.50  5.125446259611285E-02  1.151617809073042E-05 449689486
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
