# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  1.967908090749536E-05  8.148193123072667E-07 1006888
   2      -8.75      -8.50  8.802424188385371E-05  2.605582754206382E-06 3893004
   3      -8.50      -8.25  2.578871448173596E-04  3.970438089286291E-06 8552754
   4      -8.25      -8.00  5.559158539497446E-04  8.851491435551984E-06 15513635
   5      -8.00      -7.75  1.112404009926379E-03  2.034570827257381E-05 25324128
   6      -7.75      -7.50  1.971067799119589E-03  5.396627754293692E-05 38597461
   7      -7.50      -7.25  3.450725145505119E-03  4.017140643354286E-05 55957273
   8      -7.25      -7.00  5.504866343404625E-03  5.890757205385908E-05 78049761
   9      -7.00      -6.75  8.347872976640490E-03  6.706701968345449E-05 105434039
  10      -6.75      -6.50  1.203319929445867E-02  9.850734548782793E-05 138631976
  11      -6.50      -6.25  1.658309328579827E-02  1.141776496041762E-04 178149607
  12      -6.25      -6.00  2.246262421488466E-02  1.097690966197915E-04 224128737
  13      -6.00      -5.75  2.885856758018294E-02  1.654644916242583E-04 276728486
  14      -5.75      -5.50  3.638331053981212E-02  1.626699557555747E-04 335683132
  15      -5.50      -5.25  4.434022839329952E-02  1.919800505128561E-04 399850533
  16      -5.25      -5.00  5.252699409911549E-02  2.300475673678969E-04 467394000
  17      -5.00      -4.75  6.036593095080986E-02  2.119209649902895E-04 535571557
  18      -4.75      -4.50  6.727677069851946E-02  2.168116631037216E-04 601437946
  19      -4.50      -4.25  7.255188147845228E-02  2.482322252179470E-04 661388016
  20      -4.25      -4.00  7.537283577954251E-02  2.344313290888985E-04 711682755
  21      -4.00      -3.75  7.585070346726258E-02  2.349289318212447E-04 749250429
  22      -3.75      -3.50  7.329578610565876E-02  1.887070567984736E-04 771653557
  23      -3.50      -3.25  6.820185947132812E-02  1.787826595213516E-04 778016004
  24      -3.25      -3.00  6.097991165686887E-02  1.604070703655583E-04 769308434
  25      -3.00      -2.75  5.234562380728993E-02  1.246952494632761E-04 748052707
  26      -2.75      -2.50  4.328925202801533E-02  1.120900370369599E-04 718607670
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  4.333756161650746E-02  1.036193770986382E-04 710623721
  48       2.75       3.00  5.235120201057338E-02  1.492362582918220E-04 730133196
  49       3.00       3.25  6.110370638286197E-02  1.644469222918649E-04 741784075
  50       3.25       3.50  6.834920797269702E-02  1.787370017520354E-04 742375133
  51       3.50       3.75  7.303089209891646E-02  2.119407600977381E-04 730140631
  52       3.75       4.00  7.613951667864458E-02  2.079896411588628E-04 704546767
  53       4.00       4.25  7.530179315159978E-02  2.938620078092960E-04 666477613
  54       4.25       4.50  7.274296359606380E-02  2.442745621377043E-04 617835253
  55       4.50       4.75  6.780837708604398E-02  1.937871581700213E-04 561232289
  56       4.75       5.00  6.070452772842203E-02  2.227594263281179E-04 499822706
  57       5.00       5.25  5.233324889722546E-02  2.214044177673938E-04 436493774
  58       5.25       5.50  4.441170378209529E-02  1.852467484991531E-04 373973551
  59       5.50       5.75  3.612494482015318E-02  1.870076960129177E-04 314489564
  60       5.75       6.00  2.902053322222235E-02  1.642918383375313E-04 259884345
  61       6.00       6.25  2.213118238443256E-02  1.766737382205194E-04 211094913
  62       6.25       6.50  1.656434549268758E-02  1.127088975066981E-04 168321933
  63       6.50       6.75  1.195588808627153E-02  1.030632888075023E-04 131484527
  64       6.75       7.00  8.208552203989174E-03  7.281656342773581E-05 100394727
  65       7.00       7.25  5.476250028029662E-03  5.444830972782452E-05 74654701
  66       7.25       7.50  3.400450503779368E-03  5.489055361671151E-05 53767535
  67       7.50       7.75  1.979886138272833E-03  3.573219206038725E-05 37287393
  68       7.75       8.00  1.115494277638577E-03  1.864889934354273E-05 24584651
  69       8.00       8.25  5.529683785489097E-04  2.257441864557533E-05 15142899
  70       8.25       8.50  2.442540619382463E-04  7.632963263960825E-06 8395612
  71       8.50       8.75  9.130827908882902E-05  2.243833173424249E-06 3838949
  72       8.75       9.00  1.747137195303233E-05  1.396523229655576E-06 996306
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928610231E-03  1.1789363714115947E-06 811479000
#=====================================================================================
