# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.261369959898220E-04  1.166524718571675E-06 3391976
   2      -4.75      -4.50  9.101948901860800E-04  2.569842928116377E-06 12135087
   3      -4.50      -4.25  2.039042967021532E-03  3.891024169702468E-06 24258884
   4      -4.25      -4.00  3.749484235504845E-03  5.466609991165035E-06 40307597
   5      -4.00      -3.75  6.224426690788884E-03  7.268374739255838E-06 60780031
   6      -3.75      -3.50  9.622502148550708E-03  9.177293758715990E-06 85996143
   7      -3.50      -3.25  1.406311714677083E-02  1.106321450714738E-05 116081879
   8      -3.25      -3.00  1.977580904805702E-02  1.325145702086968E-05 150943326
   9      -3.00      -2.75  2.678188822995376E-02  1.537855367985184E-05 190187001
  10      -2.75      -2.50  3.511945881628434E-02  1.736140384742210E-05 233225251
  11      -2.50      -2.25  4.466425901684015E-02  1.923155261786678E-05 279271012
  12      -2.25      -2.00  5.541084147940713E-02  2.105098606685050E-05 327563482
  13      -2.00      -1.75  6.692409651164548E-02  2.263354713691733E-05 377119079
  14      -1.75      -1.50  7.879483515175588E-02  2.384267742200527E-05 426983754
  15      -1.50      -1.25  9.065278736594010E-02  2.501737569539776E-05 475894665
  16      -1.25      -1.00  1.018610516460818E-01  2.601684156436875E-05 522445178
  17      -1.00      -0.75  1.119029849028453E-01  2.667764593526099E-05 564701054
  18      -0.75      -0.50  1.202559910657560E-01  2.724871635271437E-05 600838358
  19      -0.50      -0.25  1.257255427384767E-01  2.760249109410697E-05 625038382
  20      -0.25       0.00  1.219549351058384E-01  2.717905007165627E-05 599823991
  21       0.00       0.25  1.218440530955350E-01  2.705086746953984E-05 600038923
  22       0.25       0.50  1.257463654918360E-01  2.769162929950390E-05 625599026
  23       0.50       0.75  1.202919622200191E-01  2.729938578177393E-05 601691666
  24       0.75       1.00  1.119791805088085E-01  2.673539683853083E-05 565790023
  25       1.00       1.25  1.018880778021582E-01  2.595859850964877E-05 523624222
  26       1.25       1.50  9.066889726586569E-02  2.504267138410786E-05 477164499
  27       1.50       1.75  7.877464027838714E-02  2.393059263571602E-05 428156824
  28       1.75       2.00  6.685840301751053E-02  2.259533734312455E-05 378251088
  29       2.00       2.25  5.536197309637039E-02  2.101497264390790E-05 328497111
  30       2.25       2.50  4.468680638184624E-02  1.933916316377983E-05 280136436
  31       2.50       2.75  3.511745220987455E-02  1.743331203099391E-05 233890301
  32       2.75       3.00  2.678387762172878E-02  1.537098792864390E-05 190720086
  33       3.00       3.25  1.976819190157597E-02  1.325108751174875E-05 151364629
  34       3.25       3.50  1.409846610460063E-02  1.122721721029747E-05 116392484
  35       3.50       3.75  9.611739808467090E-03  9.131031584450724E-06 86219077
  36       3.75       4.00  6.211849224303763E-03  7.375566227647964E-06 60936269
  37       4.00       4.25  3.753070129291580E-03  5.616539015345733E-06 40415099
  38       4.25       4.50  2.035401191710375E-03  3.915768229372864E-06 24317312
  39       4.50       4.75  9.126952076701117E-04  2.836214196432428E-06 12157538
  40       4.75       5.00  2.286335385204948E-04  1.212307478617614E-06 3399257
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8682013104430481E-03  1.1737593120870766E-06 817479000
#=====================================================================================
