# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  6.104392984076740E-04  1.094941812211151E-06 876967882
   2      40.00      80.00  2.006778375163203E-03  2.511168844091403E-06 2601349874
   3      80.00     120.00  2.250871449277037E-03  2.884829593147950E-06 2600987487
   4     120.00     160.00  1.737649253554735E-03  2.330242557299253E-06 2067074059
   5     160.00     200.00  1.225310654347379E-03  2.159365801610307E-06 1614339657
   6     200.00     240.00  8.521878323269926E-04  2.121466733844477E-06 1273474901
   7     240.00     280.00  6.021997172185362E-04  1.848417848625753E-06 1019429398
   8     280.00     320.00  4.301385357187461E-04  1.679039709317144E-06 827881278
   9     320.00     360.00  3.145615079384836E-04  1.387953957035706E-06 681137413
  10     360.00     400.00  2.320892168172579E-04  1.120645973070415E-06 566820491
  11     400.00     440.00  1.726827072932192E-04  1.154487216865852E-06 476388677
  12     440.00     480.00  1.300860544109632E-04  1.009466043600572E-06 404044689
  13     480.00     520.00  1.003389715715091E-04  8.720102198559795E-07 345337119
  14     520.00     560.00  7.722957671558306E-05  7.563959632460862E-07 297174255
  15     560.00     600.00  5.948523058162929E-05  7.074661109499675E-07 257377466
  16     600.00     640.00  4.750838751239561E-05  7.983820649656364E-07 224105199
  17     640.00     680.00  3.683458383154363E-05  8.509933563992620E-07 196193161
  18     680.00     720.00  3.008232472566121E-05  5.440599063026207E-07 172485878
  19     720.00     760.00  2.464671820824218E-05  3.970265737007388E-07 152288758
  20     760.00     800.00  1.939451949476723E-05  3.719347259517659E-07 134990972
  21     800.00     840.00  1.558690344391149E-05  4.489362430389549E-07 120072168
  22     840.00     880.00  1.224541442161902E-05  5.113989559719333E-07 107176487
  23     880.00     920.00  1.119129546676326E-05  3.178141903806884E-07 95916269
  24     920.00     960.00  8.552701942372472E-06  3.324083844366848E-07 86089817
  25     960.00    1000.00  7.167320164180582E-06  3.447667832329447E-07 77477765
  26    1000.00    1040.00  6.185462757441329E-06  2.254158770155681E-07 69901828
  27    1040.00    1080.00  4.696676196704769E-06  2.969972417869918E-07 63184514
  28    1080.00    1120.00  4.179337442016208E-06  1.746678058253079E-07 57254214
  29    1120.00    1160.00  2.976229165285306E-06  4.055949974080030E-07 51992395
  30    1160.00    1200.00  2.756077550096460E-06  1.884709020709376E-07 47277369
  31    1200.00    1240.00  2.287352549694204E-06  1.890291535997682E-07 43077627
  32    1240.00    1280.00  2.194993670115809E-06  1.053634223360960E-07 39337659
  33    1280.00    1320.00  1.838976533009684E-06  1.055749370843762E-07 35960235
  34    1320.00    1360.00  1.472229546740451E-06  1.131555027957184E-07 32922848
  35    1360.00    1400.00  1.412535709441932E-06  6.070388492350975E-08 30203192
  36    1400.00    1440.00  1.137750631150335E-06  8.595172193576169E-08 27723974
  37    1440.00    1480.00  8.948506803991082E-07  1.128447462413213E-07 25496504
  38    1480.00    1520.00  8.906947650339738E-07  5.559760967569232E-08 23466723
  39    1520.00    1560.00  4.794019840069301E-07  1.159274303672977E-07 21623552
  40    1560.00    1600.00  6.589865067528607E-07  4.526961625666876E-08 19954870
  41    1600.00    1640.00  4.368885855444357E-07  1.566335320398721E-07 18443773
  42    1640.00    1680.00  4.824752163328211E-07  3.811524649935900E-08 17048527
  43    1680.00    1720.00  3.458005007096053E-07  7.544359330138082E-08 15786026
  44    1720.00    1760.00  3.308568387937912E-07  4.467302374204297E-08 14623920
  45    1760.00    1800.00  3.323181736705736E-07  2.525424443049668E-08 13561984
  46    1800.00    1840.00  2.888885731776890E-07  2.109981973105131E-08 12586534
  47    1840.00    1880.00  2.332185809387383E-07  2.819546404883823E-08 11690366
  48    1880.00    1920.00  1.654932612091221E-07  5.035218917271000E-08 10881339
  49    1920.00    1960.00  1.965849932955498E-07  1.750092141634063E-08 10117673
  50    1960.00    2000.00  1.684178443785822E-07  2.517122081770313E-08 9424973
  51    2000.00    2040.00  1.288230643023890E-07  3.093186055444175E-08 8784208
  52    2040.00    2080.00  1.285461614047773E-07  1.315709525553192E-08 8188334
  53    2080.00    2120.00  4.080882539284509E-08  5.324511662280335E-08 7644258
  54    2120.00    2160.00  4.935874623184954E-08  2.500281143240917E-08 7137124
  55    2160.00    2200.00  7.062207655630733E-08  1.179172504583974E-08 6668093
  56    2200.00    2240.00  6.314650585792846E-08  1.484830748687385E-08 6237409
  57    2240.00    2280.00  6.336933753325141E-08  1.138111129655916E-08 5833580
  58    2280.00    2320.00  4.382409588484807E-08  1.332930407019876E-08 5461898
  59    2320.00    2360.00  4.992196426346812E-08  1.137963607559035E-08 5115315
  60    2360.00    2400.00  5.605724457517712E-08  1.455563883369383E-08 4797729
  61    2400.00    2440.00  2.750823484133143E-08  1.473519044885633E-08 4494209
  62    2440.00    2480.00  3.429231747824213E-08  1.033954522879634E-08 4216118
  63    2480.00    2520.00  2.894457141340757E-08  4.783947951029922E-09 3955796
  64    2520.00    2560.00  1.201148467385677E-08  1.105817232806623E-08 3720506
  65    2560.00    2600.00  1.859508605954877E-08  9.603814811834413E-09 3492578
  66    2600.00    2640.00  2.216158790966729E-08  5.077821166873864E-09 3282824
  67    2640.00    2680.00  1.668155451468502E-08  5.325178360532456E-09 3087262
  68    2680.00    2720.00  2.310422971263968E-08  2.169076079647365E-09 2905435
  69    2720.00    2760.00  2.070263285451225E-08  2.768065762661552E-09 2735798
  70    2760.00    2800.00  1.374979715837533E-08  4.142160907672924E-09 2574788
  71    2800.00    2840.00  3.546405064122547E-09  5.273628934656887E-09 2422903
  72    2840.00    2880.00  7.526788089008759E-09  6.160833982103479E-09 2284965
  73    2880.00    2920.00 -4.192786745877925E-09  1.104709512512765E-08 2153663
  74    2920.00    2960.00  5.903920317657663E-09  3.433578123907868E-09 2031415
  75    2960.00    3000.00  1.127579299954888E-08  8.436910098302400E-10 1917625
  76    3000.00    3040.00  7.027989898474482E-09  1.677239305809175E-09 1806680
  77    3040.00    3080.00  2.674330627044544E-09  3.923287955984901E-09 1708860
  78    3080.00    3120.00  5.996418738278975E-09  1.131044444643063E-09 1612077
  79    3120.00    3160.00 -1.759953682721912E-09  7.523180166569051E-09 1522866
  80    3160.00    3200.00  3.303361454165635E-09  2.592025792043922E-09 1437567
  81    3200.00    3240.00  5.331591932481015E-09  7.883128923457868E-10 1360266
  82    3240.00    3280.00  1.715260323486282E-09  2.073063031547666E-09 1285961
  83    3280.00    3320.00  4.459966600013122E-09  3.797316568784303E-10 1215914
  84    3320.00    3360.00  3.293870378179726E-09  8.480765471830378E-10 1150228
  85    3360.00    3400.00 -4.621425030419564E-09  8.269937824846715E-09 1091641
  86    3400.00    3440.00  2.755289541556921E-09  7.361392046890825E-10 1032356
  87    3440.00    3480.00  2.727994030704296E-09  3.283190977258613E-10 974765
  88    3480.00    3520.00  2.797465217640873E-09  3.059530168456920E-10 927030
  89    3520.00    3560.00  2.343534372204969E-09  3.106087303636628E-10 877868
  90    3560.00    3600.00  2.561410880932822E-09  2.302904204439606E-10 831511
  91    3600.00    3640.00  1.226125607991963E-09  6.526955339821560E-10 787487
  92    3640.00    3680.00 -1.317965115022483E-09  2.997047525658908E-09 748180
  93    3680.00    3720.00 -1.826932380654741E-09  1.903363852808881E-09 709550
  94    3720.00    3760.00  1.133769396571941E-09  2.597566718183910E-10 672915
  95    3760.00    3800.00  8.862758584915854E-10  3.428970326882948E-10 640574
  96    3800.00    3840.00  3.275895224437152E-10  4.164615428341404E-10 605295
  97    3840.00    3880.00  9.907811135488829E-10  1.862270218796954E-10 576699
  98    3880.00    3920.00 -1.915399946729608E-10  7.574766586968159E-10 546456
  99    3920.00    3960.00  4.465875133844532E-11  4.729708007659378E-10 518604
 100    3960.00    4000.00  5.177548174276591E-10  2.265982898203925E-10 493314
 101    4000.00    4040.00  5.864933239027393E-10  7.965237502404074E-11 468875
 102    4040.00    4080.00  9.679285374720537E-11  5.801233964075317E-10 446003
 103    4080.00    4120.00  3.531113763150063E-10  1.455132187029416E-10 422937
 104    4120.00    4160.00  2.090445240247287E-10  2.738503427598920E-10 403335
 105    4160.00    4200.00  2.155259529526176E-10  2.065223782787514E-10 383882
 106    4200.00    4240.00 -1.351831593617864E-10  2.854526952318372E-10 364584
 107    4240.00    4280.00 -2.787548013700252E-10  5.735916891933174E-10 346847
 108    4280.00    4320.00  3.965054641928283E-10  6.380747131178313E-11 331615
 109    4320.00    4360.00  1.960896765031066E-10  7.481981039956439E-11 314719
 110    4360.00    4400.00  2.673322797656274E-10  5.585924064708931E-11 300200
 111    4400.00    4440.00  2.089276310698708E-10  6.288185088263772E-11 285264
 112    4440.00    4480.00  1.791014836933997E-10  6.722651546321195E-11 271837
 113    4480.00    4520.00 -4.615628263324111E-10  6.226034315041676E-10 259101
 114    4520.00    4560.00  1.630559382658751E-10  4.937008688657114E-11 246418
 115    4560.00    4600.00  3.911005066084170E-11  1.400960712180736E-10 235243
 116    4600.00    4640.00  1.134461129511614E-10  4.204927981378273E-11 224121
 117    4640.00    4680.00  1.251837752733721E-10  3.795912876628425E-11 214033
 118    4680.00    4720.00  1.536091961931653E-10  1.270632826543295E-11 204336
 119    4720.00    4760.00  7.266095327583693E-11  5.218554796374774E-11 194469
 120    4760.00    4800.00  5.624761351329115E-11  3.724078853744491E-11 186107
 121    4800.00    4840.00  1.280830057661046E-10  1.780185651078198E-11 176676
 122    4840.00    4880.00  2.162083653140831E-10  1.431186102660926E-10 168834
 123    4880.00    4920.00 -3.241267502885151E-11  7.226597060493277E-11 161801
 124    4920.00    4960.00  2.443870108572850E-12  4.807553841337733E-11 154338
 125    4960.00    5000.00  3.613666189516777E-11  3.772516829275137E-11 147711
 126    5000.00    5040.00  2.278664587379924E-12  3.311812481888313E-11 140586
 127    5040.00    5080.00  5.366705672434604E-11  1.403364555675810E-11 134021
 128    5080.00    5120.00  1.928456653538923E-11  2.557632107677993E-11 127937
 129    5120.00    5160.00  1.638272786629053E-11  2.213412333786504E-11 123145
