# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  9.151830957112835E-04  2.558132890263974E-07 302067786
   2      20.00      40.00  2.326304439241604E-03  4.195243049114435E-07 746953156
   3      40.00      60.00  3.482742487712011E-03  5.196911802634583E-07 1156197635
   4      60.00      80.00  3.873895919814485E-03  5.654613506170054E-07 1278974048
   5      80.00     100.00  3.451694290299380E-03  5.593851907645198E-07 1078075679
   6     100.00     120.00  2.752517204043001E-03  5.162683695020628E-07 880858915
   7     120.00     140.00  2.094448744788346E-03  4.595035857287897E-07 727780674
   8     140.00     160.00  1.571640407295025E-03  3.989037732718522E-07 608288042
   9     160.00     180.00  1.184324760264934E-03  3.445431168754416E-07 513921402
  10     180.00     200.00  9.017693759077623E-04  2.956623546186324E-07 438288733
  11     200.00     220.00  6.934997998247958E-04  2.534161069919433E-07 376808689
  12     220.00     240.00  5.376406648487385E-04  2.182930819286643E-07 326237798
  13     240.00     260.00  4.199958211766667E-04  1.885878505978284E-07 284178749
  14     260.00     280.00  3.300626363143954E-04  1.632496745694813E-07 248939117
  15     280.00     300.00  2.607822692506520E-04  1.414339768659009E-07 219231739
  16     300.00     320.00  2.072179522244237E-04  1.225659570269451E-07 193964810
  17     320.00     340.00  1.654011233288852E-04  1.066457650517409E-07 172409196
  18     340.00     360.00  1.327885223416115E-04  9.239136979245041E-08 153900812
  19     360.00     380.00  1.070959233960586E-04  8.050075659570545E-08 137836790
  20     380.00     400.00  8.675085353197713E-05  7.048457405900115E-08 123966275
  21     400.00     420.00  7.071642085949290E-05  6.206087514684301E-08 111807438
  22     420.00     440.00  5.777300028235075E-05  5.396474153623260E-08 101144684
  23     440.00     460.00  4.738221871400061E-05  4.716166944586990E-08 91759231
  24     460.00     480.00  3.900835059947105E-05  4.281147747730334E-08 83477246
  25     480.00     500.00  3.227104027520522E-05  3.675032921236197E-08 76093561
  26     500.00     520.00  2.680442141231022E-05  3.242209410817508E-08 69523768
  27     520.00     540.00  2.226039687977024E-05  2.846831942813612E-08 63662643
  28     540.00     560.00  1.865678232552875E-05  2.552473111726323E-08 58409384
  29     560.00     580.00  1.558128149244742E-05  2.234802260213149E-08 53696024
  30     580.00     600.00  1.313282132061139E-05  2.007982151154416E-08 49415937
  31     600.00     620.00  1.103472886718372E-05  1.761360041820639E-08 45584217
  32     620.00     640.00  9.318975512852227E-06  1.584474343146943E-08 42092678
  33     640.00     660.00  7.914431392796291E-06  1.405686539812767E-08 38945127
  34     660.00     680.00  6.726439461906426E-06  1.286740563534429E-08 36066272
  35     680.00     700.00  5.717433337383156E-06  1.127975688066640E-08 33446186
  36     700.00     720.00  4.861695473809093E-06  9.957247660864254E-09 31062445
  37     720.00     740.00  4.169565762749337E-06  8.916175809173443E-09 28879154
  38     740.00     760.00  3.568202571282309E-06  8.030787052258120E-09 26877712
  39     760.00     780.00  3.071845261135101E-06  7.228604308587853E-09 25039639
  40     780.00     800.00  2.635269508836621E-06  6.545051582876156E-09 23352907
  41     800.00     820.00  2.264689142064315E-06  5.735210513262281E-09 21803051
  42     820.00     840.00  1.955876630189600E-06  5.239107839196777E-09 20369522
  43     840.00     860.00  1.700681813589069E-06  4.979734181670995E-09 19056790
  44     860.00     880.00  1.467834885503636E-06  4.337173147847061E-09 17836824
  45     880.00     900.00  1.272796745775174E-06  3.859182329304439E-09 16711578
  46     900.00     920.00  1.105743688069600E-06  3.497052494616103E-09 15665677
  47     920.00     940.00  9.610518081910022E-07  3.115941731676643E-09 14699623
  48     940.00     960.00  8.383100195965850E-07  2.913626581579623E-09 13809234
  49     960.00     980.00  7.328645500349900E-07  2.520526820922842E-09 12970523
  50     980.00    1000.00  6.339946077593658E-07  2.277616600887334E-09 12203415
  51    1000.00    1020.00  5.587606921398470E-07  2.099973176659016E-09 11479511
  52    1020.00    1040.00  4.897128355035687E-07  1.911327987328899E-09 10805687
  53    1040.00    1060.00  4.273191452571067E-07  1.687020162864295E-09 10177381
  54    1060.00    1080.00  3.754885179039163E-07  1.578717063129707E-09 9597426
  55    1080.00    1100.00  3.305397244595550E-07  1.382727385821516E-09 9050888
  56    1100.00    1120.00  2.892730455409217E-07  1.246514594838683E-09 8541408
  57    1120.00    1140.00  2.550679966712082E-07  1.122011597793859E-09 8066006
  58    1140.00    1160.00  2.261119699724243E-07  1.106756880519159E-09 7614992
  59    1160.00    1180.00  1.982199796269787E-07  9.504223874346530E-10 7200839
  60    1180.00    1200.00  1.757593589811393E-07  8.967035573010174E-10 6812073
  61    1200.00    1220.00  1.553017583449142E-07  7.967925597271963E-10 6441723
  62    1220.00    1240.00  1.350825933102432E-07  6.817902590892565E-10 6098071
  63    1240.00    1260.00  1.216858028754805E-07  6.544851425956642E-10 5768750
  64    1260.00    1280.00  1.071318012513301E-07  7.411255824716794E-10 5465889
  65    1280.00    1300.00  9.529281919413267E-08  5.523867639858615E-10 5179148
  66    1300.00    1320.00  8.397678937474846E-08  4.887733707377209E-10 4908420
  67    1320.00    1340.00  7.418068530610260E-08  4.383040267713781E-10 4654372
  68    1340.00    1360.00  6.615501257700356E-08  4.204584961959466E-10 4417989
  69    1360.00    1380.00  5.769268166263547E-08  3.483633502087754E-10 4190937
  70    1380.00    1400.00  5.256921184575125E-08  3.331708421364045E-10 3979599
