# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9239286404
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  6.762082860458344E-03  6.625692681294856E-07 2695501387
   3      40.00      60.00  5.439977812487190E-03  6.341830401769590E-07 2027687489
   4      60.00      80.00  3.742048942242667E-03  5.692426048407404E-07 1315573608
   5      80.00     100.00  2.566217857853102E-03  5.032183841890774E-07 931818555
   6     100.00     120.00  1.799965795601585E-03  4.408377604916447E-07 695315687
   7     120.00     140.00  1.294790240278261E-03  3.857593547524317E-07 538023692
   8     140.00     160.00  9.526867768097693E-04  3.361226721034312E-07 427685864
   9     160.00     180.00  7.144601204616066E-04  2.944450486507088E-07 347188277
  10     180.00     200.00  5.432588801608119E-04  2.547639591765888E-07 286650537
  11     200.00     220.00  4.190028383365922E-04  2.226764636736093E-07 240023529
  12     220.00     240.00  3.265259399879842E-04  1.947241790090200E-07 203375977
  13     240.00     260.00  2.568594584976533E-04  1.705630880174622E-07 174063929
  14     260.00     280.00  2.030988376047738E-04  1.489850027212907E-07 150284997
  15     280.00     300.00  1.619508268703365E-04  1.307997221517683E-07 130745029
  16     300.00     320.00  1.298660932269071E-04  1.151938406184007E-07 114508501
  17     320.00     340.00  1.047696076430516E-04  1.013077566281319E-07 100882053
  18     340.00     360.00  8.492849291970330E-05  8.980029354158604E-08 89365914
  19     360.00     380.00  6.910711053791247E-05  7.986718252022335E-08 79544885
  20     380.00     400.00  5.644759119548626E-05  6.968906924915202E-08 71092201
  21     400.00     420.00  4.649431133346239E-05  6.255290617317229E-08 63781072
  22     420.00     440.00  3.832549812870876E-05  5.478902594229434E-08 57459960
  23     440.00     460.00  3.172578217354147E-05  4.869632463965570E-08 51905173
  24     460.00     480.00  2.636526254674106E-05  4.317093809142280E-08 47063984
  25     480.00     500.00  2.197884841060715E-05  4.023453106098108E-08 42768866
  26     500.00     520.00  1.830051338349234E-05  3.389147195213047E-08 38966601
  27     520.00     540.00  1.541029505347115E-05  3.117909377488131E-08 35581739
  28     540.00     560.00  1.298749421472647E-05  2.799201313419152E-08 32581072
  29     560.00     580.00  1.094042213487774E-05  2.465665389134646E-08 29872772
  30     580.00     600.00  9.238451157237871E-06  2.207902474112240E-08 27470483
  31     600.00     620.00  7.810124428071758E-06  1.930969331153990E-08 25279479
  32     620.00     640.00  6.693676377366539E-06  1.779561848274781E-08 23313676
  33     640.00     660.00  5.683086362368427E-06  1.617112090667791E-08 21534521
  34     660.00     680.00  4.854385421576693E-06  1.442751480008062E-08 19931858
