# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.952100256813521E-03  6.520837725483844E-06 4008464611
   3      40.00      60.00  4.748341387381604E-03  5.260963181974564E-06 3046174112
   4      60.00      80.00  3.229402133270476E-03  4.979209015682769E-06 2002809142
   5      80.00     100.00  2.197523025899119E-03  4.397370053578940E-06 1435916535
   6     100.00     120.00  1.525994005264093E-03  3.593798820548844E-06 1082962961
   7     120.00     140.00  1.083199582052017E-03  3.248657524574930E-06 845717449
   8     140.00     160.00  7.786070274819141E-04  3.389365147120769E-06 677636708
   9     160.00     180.00  5.831399842440981E-04  2.896084426472772E-06 553995234
  10     180.00     200.00  4.380088194162355E-04  2.146279075705154E-06 460308494
  11     200.00     220.00  3.321956132123873E-04  2.185409448210298E-06 387641220
  12     220.00     240.00  2.542064235526872E-04  1.985064016743037E-06 330127114
  13     240.00     260.00  1.996836203392580E-04  1.621488307880612E-06 283847373
  14     260.00     280.00  1.547273166620933E-04  1.639596458588555E-06 246107579
  15     280.00     300.00  1.202361483953427E-04  1.421977338760125E-06 214941372
  16     300.00     320.00  9.704228938197883E-05  1.332275697110882E-06 188950368
  17     320.00     340.00  7.920319076885257E-05  9.892640148072987E-07 167026476
  18     340.00     360.00  6.095107316912582E-05  1.107965097298706E-06 148426374
  19     360.00     380.00  4.793807819478448E-05  1.299963203199099E-06 132472141
  20     380.00     400.00  3.832227266416375E-05  1.179716762787861E-06 118754473
  21     400.00     420.00  3.257705161849782E-05  7.888728639860707E-07 106839685
  22     420.00     440.00  2.593006391063084E-05  7.607448269927930E-07 96456439
  23     440.00     460.00  2.228583621169743E-05  4.959642643132629E-07 87361406
  24     460.00     480.00  1.744520529313128E-05  4.857047989857635E-07 79337218
  25     480.00     500.00  1.498144682468664E-05  5.024928800754790E-07 72257277
  26     500.00     520.00  1.141867479474820E-05  6.100986289529704E-07 65972666
  27     520.00     540.00  8.237067377708270E-06  6.957697908054366E-07 60365330
  28     540.00     560.00  7.947543859830240E-06  3.662557619077908E-07 55347698
  29     560.00     580.00  6.680190254330385E-06  3.439774646390002E-07 50872934
  30     580.00     600.00  5.459725783026264E-06  3.436687220078105E-07 46832993
  31     600.00     620.00  5.216741461167147E-06  2.133705631137560E-07 43202132
  32     620.00     640.00  3.891447088520843E-06  2.824939164482610E-07 39909260
  33     640.00     660.00  3.440959134217317E-06  2.461888117630994E-07 36923062
  34     660.00     680.00  3.107893888802524E-06  1.447311504544759E-07 34227849
  35     680.00     700.00  2.337182512020918E-06  2.480692112509263E-07 31754273
  36     700.00     720.00  2.073493452708195E-06  1.525834256801810E-07 29495900
  37     720.00     740.00  1.844641881330650E-06  1.505628268357157E-07 27455400
  38     740.00     760.00  1.219030907349435E-06  2.215221181069265E-07 25568860
  39     760.00     780.00  1.435826570402538E-06  8.499564827376558E-08 23835005
  40     780.00     800.00  1.003204268041921E-06  1.463696798038367E-07 22242692
  41     800.00     820.00  1.050399279641844E-06  7.491452350682421E-08 20792532
  42     820.00     840.00  6.040524719014633E-07  1.239732316980125E-07 19451165
  43     840.00     860.00  8.253451279102601E-07  6.438481118713529E-08 18212055
  44     860.00     880.00  6.756276977628367E-07  6.581521438072046E-08 17072222
  45     880.00     900.00  5.902413627526917E-07  5.399447010328501E-08 16006015
  46     900.00     920.00  3.757767939706739E-07  9.810607184876059E-08 15030165
  47     920.00     940.00  3.769251200550623E-07  5.199111087215679E-08 14127513
  48     940.00     960.00  3.134061050815157E-07  4.592722465166917E-08 13282777
  49     960.00     980.00  3.498999492408448E-07  3.065554085267847E-08 12506123
  50     980.00    1000.00  2.636801340434632E-07  4.293973665416008E-08 11785715
  51    1000.00    1020.00  2.096339542140084E-07  3.980383368134500E-08 11099630
  52    1020.00    1040.00  2.054191729725652E-07  3.448160672346104E-08 10466907
  53    1040.00    1060.00  1.935504909706196E-07  2.174427281723390E-08 9881542
  54    1060.00    1080.00  1.649277176994210E-07  1.956306284766547E-08 9327902
