# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  5.961725599949640E-03  6.735278387145100E-06 2675595312
   4      60.00      80.00  4.989835135409727E-03  6.547462082195451E-06 2423758580
   5      80.00     100.00  3.558082558871791E-03  5.238258050894279E-06 1885706216
   6     100.00     120.00  2.364745817979013E-03  4.427719473237494E-06 1466975652
   7     120.00     140.00  1.553593683272307E-03  4.077032666055100E-06 1176606605
   8     140.00     160.00  1.045591030976799E-03  3.320055770309389E-06 967595982
   9     160.00     180.00  7.171897060124098E-04  2.665298493862837E-06 809780872
  10     180.00     200.00  5.065872046343758E-04  2.335744920886833E-06 686747257
  11     200.00     220.00  3.626267580605729E-04  1.774826507791405E-06 588233523
  12     220.00     240.00  2.592714700687385E-04  1.642864420337808E-06 508180840
  13     240.00     260.00  1.889719718059714E-04  1.259035481121811E-06 442286231
  14     260.00     280.00  1.429837808239955E-04  9.980369699227788E-07 387377287
  15     280.00     300.00  1.052738053855016E-04  1.039506590059062E-06 341306325
  16     300.00     320.00  7.928755907114691E-05  7.786472250055147E-07 302251783
  17     320.00     340.00  5.980053745601685E-05  6.186140408511221E-07 268953949
  18     340.00     360.00  4.604814325249236E-05  6.015146630544115E-07 240344316
  19     360.00     380.00  3.542420657007502E-05  4.287885409134856E-07 215581392
  20     380.00     400.00  2.692922645816641E-05  4.120901953847835E-07 194084732
  21     400.00     420.00  2.104032014819190E-05  4.304649213635305E-07 175309481
  22     420.00     440.00  1.589217676447821E-05  3.794666813538282E-07 158813088
  23     440.00     460.00  1.243850221350633E-05  3.326065811794343E-07 144270018
  24     460.00     480.00  1.045128898657313E-05  1.955613306002298E-07 131393680
  25     480.00     500.00  8.047860666028659E-06  1.935819881639105E-07 119947161
  26     500.00     520.00  6.419138616999940E-06  2.149942006337469E-07 109751412
  27     520.00     540.00  5.266061179152581E-06  1.562507899793926E-07 100612503
  28     540.00     560.00  4.210077396192986E-06  1.565185743781316E-07 92423656
  29     560.00     580.00  3.590025653353057E-06  1.039339148788642E-07 85034784
  30     580.00     600.00  2.666466182130171E-06  1.226117908016384E-07 78382898
  31     600.00     620.00  2.090789966645436E-06  1.097004186487524E-07 72384131
  32     620.00     640.00  1.885762040972411E-06  8.951521234828915E-08 66922309
  33     640.00     660.00  1.519777003200728E-06  5.934167243221316E-08 61958388
  34     660.00     680.00  1.269743663902031E-06  4.976243795743522E-08 57459211
  35     680.00     700.00  9.463604446807249E-07  5.919941845604617E-08 53342355
  36     700.00     720.00  8.893957660099019E-07  4.012955685581374E-08 49581541
  37     720.00     740.00  6.269424687278777E-07  5.137677704997268E-08 46134613
  38     740.00     760.00  5.825138450147488E-07  3.380741685622665E-08 42981508
  39     760.00     780.00  4.450596203954590E-07  4.979477693286149E-08 40067272
  40     780.00     800.00  3.150025803217188E-07  4.154997499675162E-08 37413660
  41     800.00     820.00  3.226652379613773E-07  2.658114363092425E-08 34953945
  42     820.00     840.00  2.705431831909710E-07  2.497559542125829E-08 32697890
  43     840.00     860.00  2.060205426428774E-07  2.797632431313150E-08 30598389
  44     860.00     880.00  1.796190243247278E-07  2.048371951432688E-08 28662250
  45     880.00     900.00  1.440115072743729E-07  1.829755332919550E-08 26873744
  46     900.00     920.00  1.479817462122875E-07  3.228073092847874E-08 25218826
  47     920.00     940.00  1.173619840641288E-07  1.504823862137509E-08 23681103
  48     940.00     960.00  1.013446052054120E-07  1.074263019113037E-08 22256865
  49     960.00     980.00  8.088885505063451E-08  1.012954842604433E-08 20922502
  50     980.00    1000.00  8.185203358555119E-08  6.893764887340925E-09 19673251
