# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.16  5.166160487872279E-03  1.334156068413757E-04 8570663
   2       0.16       0.31  4.892043551767952E-03  1.747806953313887E-04 8778192
   3       0.31       0.47  4.808125343091153E-03  2.057219021522617E-04 8816775
   4       0.47       0.63  4.828748589887599E-03  1.493732883012026E-04 8841646
   5       0.63       0.79  4.785344200021905E-03  1.437767534188416E-04 8853278
   6       0.79       0.94  4.945570338672677E-03  2.255627734292890E-04 8864366
   7       0.94       1.10  4.713175821504227E-03  1.854284746382957E-04 8873049
   8       1.10       1.26  4.715498779110936E-03  1.620510608492082E-04 8877008
   9       1.26       1.41  5.059170971841031E-03  1.897254241771625E-04 8886963
  10       1.41       1.57  5.059049111313696E-03  1.549191684047318E-04 8886421
  11       1.57       1.73  4.804655211404027E-03  1.972781832888098E-04 8888955
  12       1.73       1.89  4.731747776280166E-03  2.390279880078830E-04 8889973
  13       1.89       2.04  4.592938954629138E-03  1.856165421750206E-04 8894539
  14       2.04       2.20  4.864146619341355E-03  1.605893658726343E-04 8899342
  15       2.20       2.36  4.953362058388856E-03  2.098550029457689E-04 8907979
  16       2.36       2.51  4.434795584270331E-03  5.786169096901588E-04 8909009
  17       2.51       2.67  4.754901819220593E-03  2.249758347614191E-04 8915544
  18       2.67       2.83  4.791334847630517E-03  1.603120060561551E-04 8921578
  19       2.83       2.98  4.842613735578227E-03  1.666686451590365E-04 8921746
  20       2.98       3.14  4.573840641504771E-03  1.972882750672593E-04 8921311
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                 -3.0317713000501557E-03  2.3276230048392657E-05 363224
#-------------------------------------------------------------------------------------
# Sum:                      -4.8027697840482273E-04  3.6663143149911272E-06 368000
#=====================================================================================
