# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  8.982512491724498E-01  5.918329505498083E-03 721276525
   2      -0.90      -0.80  8.003987921690691E-01  4.932640074029492E-03 647736480
   3      -0.80      -0.70  7.219662495372590E-01  4.845859336651446E-03 586056945
   4      -0.70      -0.60  6.799823075390057E-01  3.853613959530670E-03 543317248
   5      -0.60      -0.50  6.383269542095966E-01  4.279139137264206E-03 513252290
   6      -0.50      -0.40  6.138855737349471E-01  3.804521207053112E-03 491900491
   7      -0.40      -0.30  5.938455824097796E-01  3.467739466659913E-03 476815475
   8      -0.30      -0.20  5.801072815862663E-01  3.854103044394289E-03 466679902
   9      -0.20      -0.10  5.623503752013325E-01  5.103020641859428E-03 460609669
  10      -0.10       0.00  5.609930502872802E-01  4.704281826834645E-03 458315378
  11       0.00       0.10  5.582372287383645E-01  3.894929187844938E-03 459404216
  12       0.10       0.20  5.733494782456091E-01  2.832424712184952E-03 464105967
  13       0.20       0.30  5.680109339262623E-01  3.811559154144429E-03 472689691
  14       0.30       0.40  5.839837861765593E-01  3.841574554256366E-03 485745940
  15       0.40       0.50  5.972550502629995E-01  4.215865992307567E-03 504365503
  16       0.50       0.60  6.217993955123544E-01  4.206609291142299E-03 530301962
  17       0.60       0.70  6.570608112146686E-01  3.636453092296297E-03 566426782
  18       0.70       0.80  6.989240334867471E-01  3.665917752407064E-03 617695340
  19       0.80       0.90  7.515656480270292E-01  4.546745766641814E-03 689249701
  20       0.90       1.00  6.637872370087458E-01  3.867339298367451E-03 658141361
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -4.8027697840481633E-04  3.6712584066232557E-06 368000
#=====================================================================================
