# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.40       0.60  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.60       0.80  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.80       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.00       1.20  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.20       1.40  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.40       1.60  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.60       1.80  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.80       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.00       2.20  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.20       2.40  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.40       2.60  1.737528592242984E-03  9.172628083909519E-05 24376891
  14       2.60       2.80  1.099706015126824E-02  1.672475938666239E-04 110504280
  15       2.80       3.00  2.429753616549545E-02  2.934074079766821E-04 183906734
  16       3.00       3.20  4.583416998305796E-02  4.170756124934819E-04 263816432
  17       3.20       3.40  8.121731493980276E-02  5.351844644643969E-04 356678465
  18       3.40       3.60  1.360910372220970E-01  7.648822456599280E-04 467891153
  19       3.60       3.80  2.194017194090403E-01  1.042278930364489E-03 604686588
  20       3.80       4.00  3.378032370319646E-01  1.235927315129399E-03 778780980
  21       4.00       4.20  4.304506536696314E-01  1.566099661182911E-03 881920510
  22       4.20       4.40  4.614268098779932E-01  1.794713332836365E-03 843590347
  23       4.40       4.60  4.795641876632835E-01  2.113055369130830E-03 796978436
  24       4.60       4.80  4.853752582706156E-01  2.042113399426831E-03 743079332
  25       4.80       5.00  4.786769649610452E-01  2.424965548166819E-03 683374908
  26       5.00       5.20  4.571199877933986E-01  2.605477091518244E-03 619809545
  27       5.20       5.40  4.309684614985979E-01  2.485496764977264E-03 554624107
  28       5.40       5.60  3.935521563626934E-01  2.727290784000681E-03 489670026
  29       5.60       5.80  3.574087582901279E-01  2.491818184379409E-03 426803157
  30       5.80       6.00  3.166826757429648E-01  2.953620902434819E-03 367380526
  31       6.00       6.20  2.773232493952406E-01  1.928759894259619E-03 312454889
  32       6.20       6.40  2.341078379806263E-01  2.078961289373687E-03 262599425
  33       6.40       6.60  1.934714789641017E-01  2.022957919082938E-03 218089059
  34       6.60       6.80  1.566961749879613E-01  2.419343748826686E-03 178915960
  35       6.80       7.00  1.265795332538792E-01  1.366531558285345E-03 144889854
  36       7.00       7.20  9.665703942565212E-02  1.459650245063308E-03 115612841
  37       7.20       7.40  7.443155673253486E-02  1.602368408643075E-03 90768302
  38       7.40       7.60  5.265200090457926E-02  1.500921002369237E-03 69959641
  39       7.60       7.80  3.681721180663066E-02  1.251988183448106E-03 52782971
  40       7.80       8.00  2.612521698175835E-02  4.946637423645018E-04 38792281
  41       8.00       8.20  1.690250232136932E-02  4.420870813785064E-04 27645172
  42       8.20       8.40  1.079794809907975E-02  2.599687297099608E-04 18911983
  43       8.40       8.60  5.965435329787613E-03  2.708875964231193E-04 12253523
  44       8.60       8.80  2.922010248400872E-03  2.775688697218543E-04 7326273
  45       8.80       9.00  1.481823486400755E-03  4.749878606339135E-05 3825131
  46       9.00       9.20  3.915725964784043E-04  1.593534016782250E-04 1561987
  47       9.20       9.40  1.065226897502449E-04  1.005480127184905E-05 423531
  48       9.40       9.60  5.876393324100062E-06  9.290851330626950E-07 28074
  49       9.60       9.80  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.80      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.00      10.20  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.20      10.40  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.40      10.60  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.60      10.80  0.000000000000000E+00  0.000000000000000E+00 0
