# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  4.959947439469130E-02  5.251524384851786E-05 46550948
   3       0.40       0.60  1.403755404257713E-01  8.706646076233110E-05 131382148
   4       0.60       0.80  1.944155237062501E-01  1.030029043110619E-04 180531777
   5       0.80       1.00  2.468849792534964E-01  1.148117843661051E-04 227148180
   6       1.00       1.20  2.977336368959507E-01  1.268315363907147E-04 270864628
   7       1.20       1.40  3.463285586006366E-01  1.354024068761414E-04 311570163
   8       1.40       1.60  3.942891595451705E-01  1.462468402266743E-04 349246839
   9       1.60       1.80  4.404913253168949E-01  1.561774406589284E-04 383916687
  10       1.80       2.00  4.860541641793274E-01  1.650532163666821E-04 415621769
  11       2.00       2.20  5.307401049783268E-01  1.755290447817122E-04 444626924
  12       2.20       2.40  5.747227865453708E-01  1.864333366501707E-04 471403343
  13       2.40       2.60  6.173760079944779E-01  1.961617587998601E-04 496812435
  14       2.60       2.80  6.579492125749109E-01  2.068592901559150E-04 521455748
  15       2.80       3.00  6.932041065307660E-01  2.159065150050189E-04 545869351
  16       3.00       3.20  6.809654492462482E-01  2.169624090808048E-04 542133052
  17       3.20       3.40  4.237322704168800E-01  1.795492398255247E-04 358099857
  18       3.40       3.60  2.873684305515597E-01  1.517161498750073E-04 258367128
  19       3.60       3.80  2.023243971069465E-01  1.293175286205823E-04 193246745
  20       3.80       4.00  1.425546939785895E-01  1.097971392934223E-04 144645143
  21       4.00       4.20  9.885078675296340E-02  9.118097880836297E-05 106826336
  22       4.20       4.40  6.682116826232061E-02  7.479752150197462E-05 77086832
  23       4.40       4.60  4.362523170245686E-02  5.980430431254015E-05 53725941
  24       4.60       4.80  2.709464959200723E-02  4.630511420093809E-05 35585920
  25       4.80       5.00  1.556495340398173E-02  3.443980443704478E-05 21699682
  26       5.00       5.20  7.995674545665628E-03  2.383349698717309E-05 11780726
  27       5.20       5.40  3.639880319914277E-03  1.559140364721410E-05 5740847
  28       5.40       5.60  1.334030557830380E-03  9.207839522005169E-06 2253691
  29       5.60       5.80  2.830574195386709E-04  3.853935975985688E-06 534899
  30       5.80       6.00  1.072808609327551E-05  7.774776534599874E-07 20261
  31       6.00       6.20  0.000000000000000E+00  0.000000000000000E+00 0
  32       6.20       6.40  0.000000000000000E+00  0.000000000000000E+00 0
  33       6.40       6.60  0.000000000000000E+00  0.000000000000000E+00 0
  34       6.60       6.80  0.000000000000000E+00  0.000000000000000E+00 0
  35       6.80       7.00  0.000000000000000E+00  0.000000000000000E+00 0
  36       7.00       7.20  0.000000000000000E+00  0.000000000000000E+00 0
  37       7.20       7.40  0.000000000000000E+00  0.000000000000000E+00 0
  38       7.40       7.60  0.000000000000000E+00  0.000000000000000E+00 0
  39       7.60       7.80  0.000000000000000E+00  0.000000000000000E+00 0
  40       7.80       8.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       8.00       8.20  0.000000000000000E+00  0.000000000000000E+00 0
  42       8.20       8.40  0.000000000000000E+00  0.000000000000000E+00 0
  43       8.40       8.60  0.000000000000000E+00  0.000000000000000E+00 0
  44       8.60       8.80  0.000000000000000E+00  0.000000000000000E+00 0
  45       8.80       9.00  0.000000000000000E+00  0.000000000000000E+00 0
  46       9.00       9.20  0.000000000000000E+00  0.000000000000000E+00 0
  47       9.20       9.40  0.000000000000000E+00  0.000000000000000E+00 0
