# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     500.00     550.00  8.717375644161579E-04  2.349629785546000E-07 215168989
  12     550.00     600.00  9.237511914866725E-04  2.580960271461588E-07 211855961
  13     600.00     650.00  9.596655281728102E-04  2.802542177032577E-07 207034234
  14     650.00     700.00  9.814826042472157E-04  3.001597153025540E-07 201350842
  15     700.00     750.00  9.919313125549684E-04  3.183303664760641E-07 195096265
  16     750.00     800.00  9.937025798058036E-04  3.356431810726889E-07 188531751
  17     800.00     850.00  9.865838408864612E-04  3.501802565044204E-07 181765658
  18     850.00     900.00  9.759885011943083E-04  3.648225953792618E-07 175094321
  19     900.00     950.00  9.585379637443587E-04  3.766513852446893E-07 168454787
  20     950.00    1000.00  9.370178852632345E-04  3.856720784611163E-07 161948913
  21    1000.00    1050.00  9.150436946075474E-04  3.958610249721370E-07 155689960
  22    1050.00    1100.00  8.886859120842523E-04  4.038554260321347E-07 149591569
  23    1100.00    1150.00  8.629453756298710E-04  4.111096256490365E-07 143741125
  24    1150.00    1200.00  8.360864370986399E-04  4.183407613219647E-07 138152813
  25    1200.00    1250.00  8.068881228433040E-04  4.211644211355206E-07 132726521
  26    1250.00    1300.00  7.788184888148098E-04  4.262650185811335E-07 127601174
  27    1300.00    1350.00  7.516417523942488E-04  4.294437149219916E-07 122696613
  28    1350.00    1400.00  7.221587851091482E-04  4.323479557141774E-07 117987838
  29    1400.00    1450.00  6.941030102878874E-04  4.326937099737010E-07 113499717
  30    1450.00    1500.00  6.673114545160756E-04  4.341038494149390E-07 109227914
  31    1500.00    1550.00  6.400105414901496E-04  4.401313393740749E-07 105139072
  32    1550.00    1600.00  6.142131335313028E-04  4.364256415456966E-07 101238523
  33    1600.00    1650.00  5.886892062835560E-04  4.321110327711642E-07 97532082
  34    1650.00    1700.00  5.636672521380522E-04  4.292630749485326E-07 93972397
  35    1700.00    1750.00  5.394055779731064E-04  4.256168982718099E-07 90573717
  36    1750.00    1800.00  5.156708097538081E-04  4.233372682381781E-07 87336707
  37    1800.00    1850.00  4.931682892514245E-04  4.200918335310990E-07 84253895
  38    1850.00    1900.00  4.714493113205611E-04  4.149209884987990E-07 81290791
  39    1900.00    1950.00  4.505734950756794E-04  4.138212222580074E-07 78484726
