# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.199083819903958E-01  8.658790709189990E-05 186027855
   2      -2.25      -2.00  1.605938112774771E-01  1.012816555098285E-04 220893531
   3      -2.00      -1.75  2.061997180445903E-01  1.152406434344723E-04 256838891
   4      -1.75      -1.50  2.539001945492845E-01  1.259563746989817E-04 292350050
   5      -1.50      -1.25  3.016169647682847E-01  1.342439531896984E-04 326139868
   6      -1.25      -1.00  3.457558857146519E-01  1.389598562847812E-04 357054386
   7      -1.00      -0.75  3.839682278128887E-01  1.393957960374308E-04 383911782
   8      -0.75      -0.50  4.147053555629089E-01  1.393348728270226E-04 405691304
   9      -0.50      -0.25  4.355726944152189E-01  1.371073999823094E-04 421557689
  10      -0.25       0.00  4.462083835835876E-01  1.351854306177301E-04 430740016
  11       0.00       0.25  4.467540247987377E-01  1.348701239425090E-04 432798416
  12       0.25       0.50  4.356898217770776E-01  1.350788811727939E-04 427286033
  13       0.50       0.75  4.145269267045144E-01  1.354547103910940E-04 414302039
  14       0.75       1.00  3.842553559663368E-01  1.358607840153624E-04 394045992
  15       1.00       1.25  3.454906473861996E-01  1.339430252738353E-04 367196311
  16       1.25       1.50  3.014854527354038E-01  1.299431161223775E-04 334786201
  17       1.50       1.75  2.541333923523276E-01  1.221301145271953E-04 298198576
  18       1.75       2.00  2.063237178875292E-01  1.117423522877942E-04 259086097
  19       2.00       2.25  1.607676104028002E-01  9.804792278661792E-05 219258330
  20       2.25       2.50  1.200074185777442E-01  8.370078578169109E-05 180584633
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.6305534675443851E-03  8.6561726525008264E-07 667479000
#=====================================================================================
