# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.028289027747137E-01  8.656518464371868E-04 293195599
   2      -2.25      -2.00  1.361125012086128E-01  1.163169306128414E-03 349385211
   3      -2.00      -1.75  1.749994465282800E-01  1.385898984257704E-03 407556637
   4      -1.75      -1.50  2.132888076452853E-01  1.826647911443671E-03 465411481
   5      -1.50      -1.25  2.581534583948753E-01  1.427795832850464E-03 520746709
   6      -1.25      -1.00  2.897890973392970E-01  1.757607775670324E-03 571547514
   7      -1.00      -0.75  3.261764625741030E-01  1.752709275363335E-03 615910686
   8      -0.75      -0.50  3.491101402686082E-01  1.827577716715383E-03 652026035
   9      -0.50      -0.25  3.688069278925830E-01  1.685347918356653E-03 678489109
  10      -0.25       0.00  3.744231499957482E-01  1.918625812563259E-03 693966568
  11       0.00       0.25  3.731852918766908E-01  2.221410080824381E-03 697596080
  12       0.25       0.50  3.634487897536109E-01  2.005853159384836E-03 688877982
  13       0.50       0.75  3.450200600862215E-01  2.126493000094008E-03 667814058
  14       0.75       1.00  3.223947880741102E-01  2.041876202186148E-03 634808160
  15       1.00       1.25  2.896528572101420E-01  2.015644937298017E-03 591110212
  16       1.25       1.50  2.534755652392455E-01  1.607160125999355E-03 538407640
  17       1.50       1.75  2.135848158154943E-01  1.491737976496109E-03 479116115
  18       1.75       2.00  1.735295513484804E-01  1.803272578405020E-03 415850505
  19       2.00       2.25  1.392490381870215E-01  7.848540559647582E-04 351505602
  20       2.25       2.50  1.024027551655462E-01  9.046936470801218E-04 289214351
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -4.8027697840481601E-04  3.6712117808211756E-06 368000
#=====================================================================================
