# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  9.194165635656190E-03  2.006511223614182E-05 26956752
   2      -4.25      -4.00  2.157939251213565E-02  3.429413451014213E-05 44603863
   3      -4.00      -3.75  4.386161905643556E-02  5.338437969780503E-05 67926593
   4      -3.75      -3.50  7.886630476425409E-02  7.639480654297528E-05 96001098
   5      -3.50      -3.25  1.258871856236328E-01  9.907298781507830E-05 127101064
   6      -3.25      -3.00  1.811768644515366E-01  1.212231693479677E-04 158966935
   7      -3.00      -2.75  2.364948443579866E-01  1.373684134203573E-04 189339293
   8      -2.75      -2.50  2.827752287635427E-01  1.463340617784461E-04 215854972
   9      -2.50      -2.25  3.110238053559881E-01  1.455187495196795E-04 236598514
  10      -2.25      -2.00  3.197359451405227E-01  1.385109169811593E-04 250429169
  11      -2.00      -1.75  3.081523411576470E-01  1.257361290271300E-04 256679477
  12      -1.75      -1.50  2.795961463575267E-01  1.090441532651587E-04 255768889
  13      -1.50      -1.25  2.404108702337240E-01  9.099061420760000E-05 248541240
  14      -1.25      -1.00  1.959987611868470E-01  7.293418294820802E-05 236727505
  15      -1.00      -0.75  1.530512289151198E-01  5.691471906191317E-05 222721662
  16      -0.75      -0.50  1.161681716316934E-01  4.281023435662827E-05 209201458
  17      -0.50      -0.25  8.942413174921041E-02  3.198239632415810E-05 198478237
  18      -0.25       0.00  7.546141990178563E-02  2.553566696499704E-05 192228936
  19       0.00       0.25  7.541611919017505E-02  2.510006741930203E-05 191276210
  20       0.25       0.50  8.944783565602790E-02  3.069753357915384E-05 195996801
  21       0.50       0.75  1.161712135740225E-01  4.057540546755622E-05 206021757
  22       0.75       1.00  1.529135042298094E-01  5.328189115122591E-05 220191755
  23       1.00       1.25  1.960894117589435E-01  6.819147872651099E-05 236344633
  24       1.25       1.50  2.403045437717366E-01  8.420922249191993E-05 251617024
  25       1.50       1.75  2.797930303210649E-01  1.006835383725041E-04 263042226
  26       1.75       2.00  3.079396806933333E-01  1.159142073421126E-04 268275418
  27       2.00       2.25  3.196632923218009E-01  1.281874061572157E-04 265676677
  28       2.25       2.50  3.111491494847900E-01  1.353803925628782E-04 254617528
  29       2.50       2.75  2.824948166216266E-01  1.375907022829057E-04 235288411
  30       2.75       3.00  2.365670138141174E-01  1.310713982653138E-04 208692765
  31       3.00       3.25  1.812099053680418E-01  1.186836438240727E-04 176655914
  32       3.25       3.50  1.261491210987420E-01  1.004113870223856E-04 141795938
  33       3.50       3.75  7.890692365118718E-02  7.987091552870551E-05 106963130
  34       3.75       4.00  4.405469654113022E-02  6.263601759344920E-05 75085193
  35       4.00       4.25  2.152854955841582E-02  3.899976284288453E-05 48497280
  36       4.25       4.50  9.206751857675142E-03  2.410282611627351E-05 28583683
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.6305534675443539E-03  8.6565693433280208E-07 667479000
#=====================================================================================
