# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  8.239096354701696E-03  8.945359840133911E-05 42599309
   2      -4.25      -4.00  1.881244457273232E-02  3.539123184719208E-04 70398861
   3      -4.00      -3.75  3.776891727144437E-02  5.931795922188470E-04 107188488
   4      -3.75      -3.50  6.888619169894805E-02  9.234896558754628E-04 151628127
   5      -3.50      -3.25  1.099204519648045E-01  9.781448328273429E-04 200957966
   6      -3.25      -3.00  1.543347935321166E-01  1.806651715556018E-03 251702201
   7      -3.00      -2.75  2.003493137884924E-01  1.818609788688194E-03 300190493
   8      -2.75      -2.50  2.362071692917114E-01  2.336093155637749E-03 342706853
   9      -2.50      -2.25  2.617383859371364E-01  2.017663116298410E-03 376100727
  10      -2.25      -2.00  2.624978532603140E-01  2.622745054055446E-03 398559453
  11      -2.00      -1.75  2.595348611788771E-01  1.603643165336345E-03 408930258
  12      -1.75      -1.50  2.299771506922900E-01  1.628821540331140E-03 407786648
  13      -1.50      -1.25  1.989279421445988E-01  1.261429414298527E-03 396678450
  14      -1.25      -1.00  1.623230451048789E-01  1.021747885858591E-03 378131103
  15      -1.00      -0.75  1.277464486915913E-01  7.677527194294883E-04 356181503
  16      -0.75      -0.50  9.698558808085625E-02  5.641117257734390E-04 335037900
  17      -0.50      -0.25  7.661265468925368E-02  3.352962993784724E-04 318383575
  18      -0.25       0.00  6.482508027623954E-02  2.561592500575027E-04 308880845
  19       0.00       0.25  6.445682597139184E-02  2.452742114206832E-04 307999987
  20       0.25       0.50  7.627838038753158E-02  3.139950479915705E-04 316126878
  21       0.50       0.75  9.867114644994883E-02  4.754634550164802E-04 332668967
  22       0.75       1.00  1.293088087936191E-01  6.390623494129504E-04 355588515
  23       1.00       1.25  1.628522194106863E-01  9.282666004345030E-04 381363284
  24       1.25       1.50  2.000580854186485E-01  1.159990008224638E-03 405517708
  25       1.50       1.75  2.351213010356781E-01  1.249403737374070E-03 423128264
  26       1.75       2.00  2.539082725653403E-01  1.638441744997635E-03 430644051
  27       2.00       2.25  2.679952339748626E-01  1.759381981937213E-03 425434663
  28       2.25       2.50  2.616680201083834E-01  1.685647755637007E-03 406537865
  29       2.50       2.75  2.383391096419923E-01  1.907487156029050E-03 374595118
  30       2.75       3.00  2.037857631270732E-01  1.423374072388618E-03 331084373
  31       3.00       3.25  1.548962087958149E-01  1.416790417208753E-03 279211882
  32       3.25       3.50  1.103103396534227E-01  9.263868344353432E-04 223303142
  33       3.50       3.75  6.983655200392060E-02  6.102271316723397E-04 167887483
  34       3.75       4.00  3.937547874004350E-02  3.359809368182737E-04 117490350
  35       4.00       4.25  1.870511208256024E-02  3.391758238624162E-04 75763511
  36       4.25       4.50  8.378160686103593E-03  1.163455985319278E-04 44606445
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -4.8027697840481698E-04  3.6712863086715711E-06 368000
#=====================================================================================
