# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.197395964176336E-01  8.545636526830221E-05 186529464
   2      -2.25      -2.00  1.607117011397828E-01  1.014456020619673E-04 221507957
   3      -2.00      -1.75  2.064237785618674E-01  1.160007725403358E-04 257407773
   4      -1.75      -1.50  2.542815065127027E-01  1.263962445283226E-04 292957104
   5      -1.50      -1.25  3.016898042753505E-01  1.340548839110488E-04 326733552
   6      -1.25      -1.00  3.456624454098238E-01  1.381270686541735E-04 357633593
   7      -1.00      -0.75  3.839618814727169E-01  1.387510500813729E-04 384376921
   8      -0.75      -0.50  4.144492744784999E-01  1.377178940001187E-04 406018800
   9      -0.50      -0.25  4.358040370850027E-01  1.367123236649630E-04 421774464
  10      -0.25       0.00  4.467145117618652E-01  1.353610570237747E-04 430841445
  11       0.00       0.25  4.464887930869074E-01  1.342553929685227E-04 432736602
  12       0.25       0.50  4.357945522939932E-01  1.355199493882536E-04 427056884
  13       0.50       0.75  4.143681569198481E-01  1.358305040194597E-04 413918111
  14       0.75       1.00  3.838305093515931E-01  1.364817459913380E-04 393588661
  15       1.00       1.25  3.457140324656765E-01  1.343264172636157E-04 366636715
  16       1.25       1.50  3.015464898109960E-01  1.301019874864329E-04 334184537
  17       1.50       1.75  2.538948424588482E-01  1.232150990168574E-04 297588954
  18       1.75       2.00  2.063616758724899E-01  1.120958465525498E-04 258520586
  19       2.00       2.25  1.606320652490112E-01  9.882487491974424E-05 218674652
  20       2.25       2.50  1.197943316832568E-01  8.356149137572550E-05 180061225
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.6305534675440468E-03  8.6561724953831307E-07 667479000
#=====================================================================================
