# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  1.224119075683523E-04  2.932093285257763E-06 351814
   2      -8.75      -8.50  6.454487104457351E-04  8.035074347206441E-06 1396685
   3      -8.50      -8.25  1.719087122533680E-03  1.326971097028818E-05 3088998
   4      -8.25      -8.00  3.715040095526657E-03  1.952362746704234E-05 5608694
   5      -8.00      -7.75  7.157151268685037E-03  2.903761408641474E-05 9164655
   6      -7.75      -7.50  1.240118787473960E-02  3.769526563792307E-05 13948180
   7      -7.50      -7.25  1.973604499109372E-02  4.732692656982509E-05 20201368
   8      -7.25      -7.00  3.015844259634873E-02  5.879999804670251E-05 28144040
   9      -7.00      -6.75  4.329777836685601E-02  6.942275419976109E-05 37983961
  10      -6.75      -6.50  5.936088687962231E-02  7.909293343910175E-05 49915092
  11      -6.50      -6.25  7.870310011800762E-02  8.880994516271178E-05 64096722
  12      -6.25      -6.00  1.000496184984036E-01  9.786991485133978E-05 80594684
  13      -6.00      -5.75  1.234715608442125E-01  1.023964010363904E-04 99497745
  14      -5.75      -5.50  1.480677131947171E-01  1.084763373524922E-04 120661717
  15      -5.50      -5.25  1.727571801454029E-01  1.095320132700168E-04 143721306
  16      -5.25      -5.00  1.957257928393988E-01  1.090674213520974E-04 168017848
  17      -5.00      -4.75  2.160706724391698E-01  1.076893394873886E-04 192570994
  18      -4.75      -4.50  2.317094526165273E-01  1.041539817475595E-04 216401555
  19      -4.50      -4.25  2.416857765999277E-01  9.903128084652614E-05 238123937
  20      -4.25      -4.00  2.443528217767939E-01  9.227828569336464E-05 256450655
  21      -4.00      -3.75  2.392035074691810E-01  8.450150050784607E-05 270220660
  22      -3.75      -3.50  2.263275467512415E-01  7.607045111938696E-05 278572877
  23      -3.50      -3.25  2.068423164069034E-01  6.691269310656903E-05 281123217
  24      -3.25      -3.00  1.824596709813687E-01  5.772950766334417E-05 278262058
  25      -3.00      -2.75  1.554296503208190E-01  4.886341470731528E-05 270882615
  26      -2.75      -2.50  1.278188217537047E-01  4.053347155832230E-05 260594951
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  1.279250029370589E-01  4.299059020390545E-05 257721219
  48       2.75       3.00  1.554059010769471E-01  5.186312429033764E-05 264292406
  49       3.00       3.25  1.825101637115752E-01  6.139059520871384E-05 268125450
  50       3.25       3.50  2.068109612470793E-01  7.127530570399208E-05 268046023
  51       3.50       3.75  2.264943044878063E-01  8.080148029355582E-05 263412598
  52       3.75       4.00  2.390918819711868E-01  8.981149530942963E-05 253992163
  53       4.00       4.25  2.445688845422239E-01  9.821218557882920E-05 240152411
  54       4.25       4.50  2.416405916832202E-01  1.046214105159434E-04 222584524
  55       4.50       4.75  2.318667748760457E-01  1.097526344707185E-04 202151056
  56       4.75       5.00  2.161146156769571E-01  1.139005787060373E-04 179996040
  57       5.00       5.25  1.956560015117419E-01  1.152319297303122E-04 157190995
  58       5.25       5.50  1.725284822812813E-01  1.142597310960218E-04 134719590
  59       5.50       5.75  1.481728412568786E-01  1.123566763205203E-04 113328298
  60       5.75       6.00  1.235156262074169E-01  1.071185344985147E-04 93705014
  61       6.00       6.25  9.988676283078265E-02  1.001526929079676E-04 76159449
  62       6.25       6.50  7.843038494090471E-02  9.198861095683620E-05 60747384
  63       6.50       6.75  5.944231981435518E-02  8.321812697432289E-05 47497161
  64       6.75       7.00  4.322554389569871E-02  7.173031340440409E-05 36288257
  65       7.00       7.25  3.002720371765551E-02  5.974029108574484E-05 26984687
  66       7.25       7.50  1.989136741529227E-02  4.928199484098880E-05 19452172
  67       7.50       7.75  1.235438417270674E-02  3.842114260792774E-05 13488264
  68       7.75       8.00  7.065357076184438E-03  2.789798212110996E-05 8895666
  69       8.00       8.25  3.779607278401614E-03  2.040558162308938E-05 5472176
  70       8.25       8.50  1.711452918179012E-03  1.299345506462105E-05 3025309
  71       8.50       8.75  6.321884458220200E-04  7.487610202755412E-06 1376097
  72       8.75       9.00  1.266977647094732E-04  3.279964134689078E-06 346563
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.6305534675442324E-03  8.6567360455066098E-07 667479000
#=====================================================================================
