# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.714400861997900E-06  1.608770790863132E-08 573877
   4     180.00     240.00  1.643430281252583E-04  1.806076153403191E-07 42481230
   5     240.00     300.00  9.915473708918326E-04  4.732840908496830E-07 184255636
   6     300.00     360.00  2.100857890754911E-03  7.174041785101265E-07 329344308
   7     360.00     420.00  2.818107026734867E-03  8.316257136803966E-07 422653452
   8     420.00     480.00  3.019785214776149E-03  8.584824339966874E-07 452621334
   9     480.00     540.00  2.841395016500700E-03  8.196270975066831E-07 439512600
  10     540.00     600.00  2.491421146858947E-03  7.562322050803488E-07 409235873
  11     600.00     660.00  2.099799899272005E-03  6.820374014225495E-07 373532363
  12     660.00     720.00  1.729629459509610E-03  6.018892540031268E-07 337346112
  13     720.00     780.00  1.404888078645814E-03  5.270026426437181E-07 303200793
  14     780.00     840.00  1.133643592405441E-03  4.607345650258634E-07 272177578
  15     840.00     900.00  9.108524424106350E-04  4.012904265719907E-07 244539849
  16     900.00     960.00  7.316841774454013E-04  3.516749605746715E-07 220090298
  17     960.00    1020.00  5.874238152773354E-04  3.013678570761788E-07 198529245
  18    1020.00    1080.00  4.729488239534763E-04  2.622856684760349E-07 179547261
  19    1080.00    1140.00  3.811602975665296E-04  2.270991842430733E-07 162772783
  20    1140.00    1200.00  3.078179835793042E-04  1.976402379935131E-07 147913513
  21    1200.00    1260.00  2.490767073967939E-04  1.717233551046912E-07 134757673
  22    1260.00    1320.00  2.023884238397877E-04  1.501547902619982E-07 123038205
  23    1320.00    1380.00  1.645282251887679E-04  1.298947681577002E-07 112539106
  24    1380.00    1440.00  1.343655287855128E-04  1.140018178959095E-07 103180536
  25    1440.00    1500.00  1.097250837038755E-04  9.926796688613259E-08 94760386
  26    1500.00    1560.00  8.991868717529121E-05  8.639186821521218E-08 87189675
  27    1560.00    1620.00  7.385882743125659E-05  7.559944494023480E-08 80373076
  28    1620.00    1680.00  6.086705414821370E-05  6.592978604074062E-08 74188291
  29    1680.00    1740.00  5.024417841830144E-05  5.805547538116202E-08 68583611
  30    1740.00    1800.00  4.145922408498971E-05  5.089765535211642E-08 63492162
  31    1800.00    1860.00  3.429897885046995E-05  4.430953220215220E-08 58854187
  32    1860.00    1920.00  2.850415909925455E-05  3.960196683415108E-08 54631445
  33    1920.00    1980.00  2.369759116826289E-05  3.439629443724690E-08 50781315
  34    1980.00    2040.00  1.969741635507708E-05  3.012782635705822E-08 47232892
  35    2040.00    2100.00  1.641565227257957E-05  2.619449643722135E-08 43990814
  36    2100.00    2160.00  1.375620229637826E-05  2.386703390606121E-08 41010186
  37    2160.00    2220.00  1.150545160579031E-05  2.065677575390080E-08 38274381
  38    2220.00    2280.00  9.602108347063333E-06  1.798361505594419E-08 35743127
  39    2280.00    2340.00  8.051159885649384E-06  1.613360406065740E-08 33414565
  40    2340.00    2400.00  6.787507359242108E-06  1.419392379898935E-08 31271134
  41    2400.00    2460.00  5.681227210334793E-06  1.219434035575305E-08 29277404
  42    2460.00    2520.00  4.780266633034386E-06  1.075820357001662E-08 27435638
  43    2520.00    2580.00  4.024194498955604E-06  9.652916767942546E-09 25732700
  44    2580.00    2640.00  3.384255762284558E-06  8.516793897915669E-09 24144393
  45    2640.00    2700.00  2.852186485633438E-06  7.574157202840710E-09 22669561
  46    2700.00    2760.00  2.410173724645423E-06  6.503372478725920E-09 21292567
  47    2760.00    2820.00  2.039710253432274E-06  5.907788183912896E-09 20017671
  48    2820.00    2880.00  1.726702309338306E-06  5.169573614993478E-09 18836591
  49    2880.00    2940.00  1.457257212778126E-06  4.421116171752922E-09 17717057
  50    2940.00    3000.00  1.238628363019362E-06  3.955207567877223E-09 16691756
  51    3000.00    3060.00  1.044472861820828E-06  3.598858979410619E-09 15720447
  52    3060.00    3120.00  8.952325353961242E-07  3.098683562543844E-09 14817711
  53    3120.00    3180.00  7.602623296404982E-07  2.852614295179007E-09 13971346
  54    3180.00    3240.00  6.429869955833931E-07  2.533929500037045E-09 13186260
  55    3240.00    3300.00  5.416504951459058E-07  2.094480920454295E-09 12434719
  56    3300.00    3360.00  4.662792328933605E-07  2.005306834266692E-09 11746887
  57    3360.00    3420.00  3.957428467249932E-07  1.657622108416762E-09 11082481
  58    3420.00    3480.00  3.357730224400204E-07  1.472593035629214E-09 10458631
