# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 7531973577
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.365398622848706E-02  4.093314127701465E-06 1552086930
   3      40.00      60.00  1.720914686833515E-02  3.332582133216888E-06 1168085097
   4      60.00      80.00  1.112689926541405E-02  2.662803352214642E-06 758541661
   5      80.00     100.00  7.236042646246798E-03  2.131283390202786E-06 537732152
   6     100.00     120.00  4.834796985956592E-03  1.716370889710589E-06 401586356
   7     120.00     140.00  3.321993734389301E-03  1.395791052043785E-06 310918642
   8     140.00     160.00  2.337874477275141E-03  1.147617578529007E-06 247254883
   9     160.00     180.00  1.680348334314587E-03  9.421747860482790E-07 200829456
  10     180.00     200.00  1.231858937874248E-03  7.873604604881495E-07 165890528
  11     200.00     220.00  9.141622078811531E-04  6.532933391270961E-07 138947106
  12     220.00     240.00  6.882099470213385E-04  5.429960739286973E-07 117789778
  13     240.00     260.00  5.233463064774656E-04  4.564197677050058E-07 100854385
  14     260.00     280.00  4.032353594270927E-04  3.943878569735658E-07 87103123
  15     280.00     300.00  3.130891618216686E-04  3.345912547119933E-07 75809450
  16     300.00     320.00  2.448078734905907E-04  3.138366966930132E-07 66409154
  17     320.00     340.00  1.920140415618683E-04  2.419588479325785E-07 58523467
  18     340.00     360.00  1.519341327555622E-04  2.060936565949692E-07 51848306
  19     360.00     380.00  1.212496423417388E-04  1.820178334980766E-07 46151789
  20     380.00     400.00  9.705355803535614E-05  1.539005111598494E-07 41282618
  21     400.00     420.00  7.809288723311522E-05  1.329863130393660E-07 37053072
  22     420.00     440.00  6.329224941189336E-05  1.172224927450737E-07 33374701
  23     440.00     460.00  5.145392449867858E-05  9.928101528917655E-08 30162312
  24     460.00     480.00  4.185589023328168E-05  8.627025229660369E-08 27350190
  25     480.00     500.00  3.428332468762188E-05  7.844570635268839E-08 24858144
  26     500.00     520.00  2.800692099961303E-05  6.395969927449634E-08 22653584
  27     520.00     540.00  2.330295462158008E-05  5.879811101159201E-08 20686262
  28     540.00     560.00  1.918071133410267E-05  5.100460065566238E-08 18943581
  29     560.00     580.00  1.607571819463913E-05  4.631719502553440E-08 17378680
  30     580.00     600.00  1.327987655096203E-05  4.186977400166108E-08 15977053
  31     600.00     620.00  1.111974555479186E-05  3.661187799062761E-08 14712411
  32     620.00     640.00  9.242734573535997E-06  2.933233220523813E-08 13570939
  33     640.00     660.00  7.753477593782940E-06  2.613943610656723E-08 12537637
  34     660.00     680.00  6.607704144832314E-06  2.708202910566596E-08 11604366
  35     680.00     700.00  5.544597403403206E-06  2.176019826609924E-08 10749485
  36     700.00     720.00  4.657375159102154E-06  1.879981050499549E-08 9976719
  37     720.00     740.00  3.966970578661314E-06  1.738689381073274E-08 9266937
  38     740.00     760.00  3.371161562348616E-06  1.555628821910067E-08 8622203
  39     760.00     780.00  2.853762475737018E-06  1.330265722820783E-08 8032766
  40     780.00     800.00  2.413599751359162E-06  1.196543925569099E-08 7490580
  41     800.00     820.00  2.074594727278371E-06  1.024945334640648E-08 6991575
  42     820.00     840.00  1.769972237345845E-06  9.241287760404089E-09 6538898
  43     840.00     860.00  1.511107156760641E-06  8.084330732927469E-09 6113593
  44     860.00     880.00  1.285266378796529E-06  7.233597891644440E-09 5719800
  45     880.00     900.00  1.107078136120418E-06  6.349092213900792E-09 5362249
  46     900.00     920.00  9.596110953575517E-07  6.155116271261658E-09 5028526
  47     920.00     940.00  8.345338994503339E-07  7.010375354203488E-09 4715712
  48     940.00     960.00  6.978191481793996E-07  4.531941117474675E-09 4435891
  49     960.00     980.00  6.135525094521812E-07  4.165664877963843E-09 4165896
  50     980.00    1000.00  5.218509167653187E-07  3.948435211580190E-09 3917690
  51    1000.00    1020.00  4.563813273443292E-07  3.420465003264164E-09 3691330
  52    1020.00    1040.00  3.947158226199306E-07  3.008477113711770E-09 3475062
  53    1040.00    1060.00  3.430866416572778E-07  3.161767318996406E-09 3276015
  54    1060.00    1080.00  2.997886336600543E-07  2.877176865809875E-09 3095017
  55    1080.00    1100.00  2.529732119764215E-07  2.111351180944484E-09 2922678
  56    1100.00    1120.00  2.209890411234726E-07  1.933688584638644E-09 2757198
  57    1120.00    1140.00  1.954264968781779E-07  1.909826675546698E-09 2605567
  58    1140.00    1160.00  1.705713663389456E-07  1.757687682726413E-09 2465654
  59    1160.00    1180.00  1.465734960182119E-07  1.893469231123059E-09 2329874
  60    1180.00    1200.00  1.316964929967647E-07  1.472943591870351E-09 2204877
  61    1200.00    1220.00  1.127997368492358E-07  1.286333407917633E-09 2087538
  62    1220.00    1240.00  9.690853594306911E-08  1.195822726977967E-09 1980114
  63    1240.00    1260.00  8.534906859239317E-08  9.714747384326623E-10 1878217
  64    1260.00    1280.00  7.505041967838509E-08  1.673296505683277E-09 1780012
  65    1280.00    1300.00  6.699010887153489E-08  8.985710349961172E-10 1689034
  66    1300.00    1320.00  5.706825159945175E-08  7.410857397639275E-10 1603589
  67    1320.00    1340.00  4.944451469511772E-08  6.683436845462066E-10 1519700
  68    1340.00    1360.00  4.431438188930817E-08  6.044308031979183E-10 1446429
  69    1360.00    1380.00  3.685992749073760E-08  4.791749397364499E-10 1373805
  70    1380.00    1400.00  3.398852901551110E-08  7.249500741761413E-10 1306069
  71    1400.00    1420.00  2.986471905426227E-08  5.005367243589450E-10 1242049
  72    1420.00    1440.00  2.608372145839205E-08  3.867797287401966E-10 1181545
  73    1440.00    1460.00  2.305328241573929E-08  4.054664141826769E-10 1125230
  74    1460.00    1480.00  1.983461251714721E-08  3.320149264931362E-10 1069561
  75    1480.00    1500.00  1.731699557376432E-08  2.586740362479017E-10 1019254
  76    1500.00    1520.00  1.542526035477797E-08  2.429230666333383E-10 970537
  77    1520.00    1540.00  1.347289034703897E-08  2.192176979601352E-10 925485
  78    1540.00    1560.00  1.211070863592228E-08  2.292129021006500E-10 879843
  79    1560.00    1580.00  1.056725257404867E-08  2.006284390242169E-10 839805
  80    1580.00    1600.00  9.254507162712904E-09  1.594081185243107E-10 799378
  81    1600.00    1620.00  7.884929042504771E-09  1.487356126730660E-10 762377
  82    1620.00    1640.00  7.546741101825333E-09  1.676307662045207E-10 728282
