# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  3.273948867974723E-04  1.800686157503103E-06 41891048
   3      50.00      70.00  1.594898496427998E-03  6.350241664348727E-06 158788958
   4      70.00      90.00  3.281687308533911E-03  1.662442209085534E-05 294404350
   5      90.00     110.00  4.753185718672948E-03  1.318331857514517E-05 417177684
   6     110.00     130.00  5.588652001816116E-03  1.827419137020550E-05 512388962
   7     130.00     150.00  5.922252834450962E-03  2.328032240754544E-05 571056376
   8     150.00     170.00  5.774292115770697E-03  2.430085017869696E-05 584286327
   9     170.00     190.00  5.322337333221150E-03  2.774477201535867E-05 568485515
  10     190.00     210.00  4.739401089393436E-03  2.462277089756979E-05 538467883
  11     210.00     230.00  4.175676525554659E-03  2.100894105335075E-05 502604083
  12     230.00     250.00  3.542973017021593E-03  2.325571200177863E-05 465116873
  13     250.00     270.00  3.045664167889652E-03  2.117312207346760E-05 428518257
  14     270.00     290.00  2.586210077799024E-03  1.871924359169486E-05 393878686
  15     290.00     310.00  2.161026404216147E-03  1.849412507656052E-05 361788538
  16     310.00     330.00  1.805117859531999E-03  2.606686646771740E-05 332274473
  17     330.00     350.00  1.518070773012940E-03  2.280135014844473E-05 305434242
  18     350.00     370.00  1.285364722788260E-03  1.716519154026772E-05 281040377
  19     370.00     390.00  1.086684788507118E-03  1.336686091069628E-05 258872380
  20     390.00     410.00  8.984401765585860E-04  1.686760467264037E-05 238869604
  21     410.00     430.00  7.363384863912726E-04  2.071434929133639E-05 220724462
  22     430.00     450.00  6.748706284596401E-04  8.939809282649905E-06 204263424
  23     450.00     470.00  5.362986916810734E-04  1.365464644280321E-05 189271166
  24     470.00     490.00  4.619366395411906E-04  9.430835693848482E-06 175660294
  25     490.00     510.00  4.028317611424246E-04  1.099283771902994E-05 163264217
  26     510.00     530.00  3.445625735577621E-04  7.870849598062571E-06 151969300
  27     530.00     550.00  2.897885459755383E-04  7.447965325798312E-06 141618142
  28     550.00     570.00  2.489985155935110E-04  6.354107215041801E-06 132174938
  29     570.00     590.00  2.104574462491561E-04  5.853437483920878E-06 123464733
  30     590.00     610.00  1.873580507294374E-04  6.163046793734307E-06 115487614
  31     610.00     630.00  1.448612090172390E-04  5.833644167070283E-06 108136087
  32     630.00     650.00  1.294050076400985E-04  5.928984559942659E-06 101378064
  33     650.00     670.00  1.118101292816320E-04  7.397116735168334E-06 95133152
  34     670.00     690.00  1.023547937389531E-04  4.532364724169293E-06 89376555
  35     690.00     710.00  8.041214134744638E-05  4.495261341608125E-06 84042547
  36     710.00     730.00  7.215792818909002E-05  3.927066514155472E-06 79099119
  37     730.00     750.00  6.160474434457047E-05  3.295557282575406E-06 74509704
  38     750.00     770.00  5.333821922065686E-05  4.684337127043230E-06 70242090
  39     770.00     790.00  4.183403650255167E-05  4.297593483984205E-06 66266132
  40     790.00     810.00  4.138189182254852E-05  2.446752186287271E-06 62576234
  41     810.00     830.00  3.648300262051341E-05  2.765196188626487E-06 59127209
  42     830.00     850.00  2.707138201263823E-05  2.498044652614094E-06 55912668
  43     850.00     870.00  2.791744639205466E-05  1.925800238894916E-06 52905922
  44     870.00     890.00  2.387694315208155E-05  1.792498795191030E-06 50094348
